,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,tensorflow/tensorflow,0.6.0,2015-12-09,OTHER,2012.0,440338.0,43.0,13.0,1795.0,36335.0,2.0,5.0,13.0,7.0,29.0,3.0
1,tensorflow/tensorflow,v0.6.0,2016-02-10,OTHER,2012.0,440338.0,2.0,,2.0,12.0,1.0,,,,,
2,tensorflow/tensorflow,v0.7.0,2016-02-16,OTHER,1841.0,369424.0,685.0,329.0,3617.0,93798.0,8.0,26.0,330.0,352.0,5041.0,3.0
3,tensorflow/tensorflow,v0.7.1,2016-02-19,OTHER,1842.0,369585.0,20.0,16.0,11.0,50.0,2.0,,,,,
4,tensorflow/tensorflow,v0.8.0rc0,2016-04-13,OTHER,2407.0,495986.0,827.0,783.0,2911.0,150301.0,11.0,536.0,783.0,2540.0,142239.0,10.0
5,tensorflow/tensorflow,v0.8.0,2016-04-22,OTHER,2409.0,496843.0,8.0,9.0,4.0,209.0,4.0,,,,,
6,tensorflow/tensorflow,v0.9.0rc0,2016-06-05,OTHER,3461.0,644601.0,661.0,604.0,6383.0,154363.0,12.0,526.0,604.0,5591.0,145939.0,6.0
7,tensorflow/tensorflow,v0.9.0,2016-06-21,OTHER,3481.0,647478.0,6.0,18.0,38.0,2101.0,4.0,,,,,
8,tensorflow/tensorflow,v0.10.0rc0,2016-07-29,OTHER,3905.0,770820.0,646.0,624.0,2793.0,134759.0,15.0,1422.0,771.0,2909.0,140785.0,6.0
9,tensorflow/tensorflow,v0.10.0,2016-09-08,OTHER,4084.0,808559.0,161.0,127.0,533.0,25209.0,4.0,570.0,295.0,722.0,40492.0,2.0
10,tensorflow/tensorflow,v0.11.0rc0,2016-09-30,OTHER,4622.0,961283.0,931.0,672.0,4316.0,314999.0,8.0,2656.0,1155.0,5321.0,300563.0,5.0
11,tensorflow/tensorflow,v0.11.0rc1,2016-10-20,OTHER,4625.0,961824.0,9.0,16.0,7.0,193.0,1.0,110.0,37.0,,0.0,1.0
12,tensorflow/tensorflow,v0.11.0rc2,2016-10-31,OTHER,4625.0,961839.0,5.0,6.0,7.0,146.0,0.0,110.0,27.0,154.0,3212.0,1.0
13,tensorflow/tensorflow,v0.11.0,2016-11-09,OTHER,4625.0,961840.0,3.0,1.0,,0.0,0.0,66.0,1.0,,0.0,1.0
14,tensorflow/tensorflow,0.12.0-rc0,2016-11-28,OTHER,5112.0,1101699.0,1176.0,1132.0,5826.0,249253.0,11.0,3188.0,1657.0,9128.0,392083.0,3.0
15,tensorflow/tensorflow,0.12.0-rc1,2016-12-09,OTHER,5114.0,1102072.0,13.0,15.0,10.0,205.0,1.0,220.0,78.0,44.0,572.0,1.0
16,tensorflow/tensorflow,v0.12.0,2016-12-19,OTHER,5115.0,1102621.0,1.0,9.0,1.0,2.0,1.0,,,,,
17,tensorflow/tensorflow,0.12.1,2016-12-25,OTHER,5115.0,1102628.0,2.0,4.0,,0.0,0.0,44.0,4.0,,0.0,1.0
