,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,vega/vega,v1.1.0,2013-04-03,,,,,,,,,,,,,
1,vega/vega,v1.2.0,2013-04-11,,,,,,,,,,,,,
2,vega/vega,v1.3.0,2013-07-18,,,,,,,,,,,,,
3,vega/vega,v1.3.1,2013-07-22,,,,,,,,,,,,,
4,vega/vega,v1.3.2,2013-07-25,,,,,,,,,,,,,
5,vega/vega,v1.3.3,2013-10-01,,,,,,,,,,,,,
6,vega/vega,v1.3.4,2014-04-30,,,,,,,,,,,,,
7,vega/vega,v1.4.0,2014-05-01,,,,,,,,,,,,,
8,vega/vega,v1.4.1,2014-07-14,,,,,,,,,,,,,
9,vega/vega,v1.4.2,2014-09-02,,,,,,,,,,,,,
10,vega/vega,v1.4.3,2014-12-17,,,,,,,,,,,,,
11,vega/vega,v1.5.0,2015-03-13,,,,,,,,,,,,,
12,vega/vega,v1.5.4,2015-06-30,,,,,,,,,,,,,
13,vega/vega,v1.5.1,2015-06-30,,,,,,,,,,,,,
14,vega/vega,v2.0.0,2015-07-13,,,,,,,,,,,,,
15,vega/vega,v2.0.1,2015-07-13,,,,,,,,,,,,,
16,vega/vega,v2.0.3,2015-07-14,,,,,,,,,,,,,
17,vega/vega,v2.0.4,2015-07-15,,,,,,,,,,,,,
18,vega/vega,v2.0.5,2015-07-21,,,,,,,,,,,,,
19,vega/vega,v2.0.6,2015-07-29,,,,,,,,,,,,,
20,vega/vega,v2.1.1,2015-08-13,,,,,,,,,,,,,
21,vega/vega,v2.1.0,2015-08-13,,,,,,,,,,,,,
22,vega/vega,v2.1.2,2015-08-18,,,,,,,,,,,,,
23,vega/vega,v2.2.0,2015-08-26,,,,,,,,,,,,,
24,vega/vega,v2.2.1,2015-08-28,,,,,,,,,,,,,
25,vega/vega,v2.2.3,2015-09-03,,,,,,,,,,,,,
26,vega/vega,v2.2.2,2015-09-03,,,,,,,,,,,,,
27,vega/vega,v2.2.4,2015-09-09,,,,,,,,,,,,,
28,vega/vega,v2.2.5,2015-09-17,,,,,,,,,,,,,
29,vega/vega,v2.2.6,2015-09-22,,,,,,,,,,,,,
30,vega/vega,v2.3.1,2015-10-22,,,,,,,,,,,,,
31,vega/vega,v2.3.0,2015-10-22,,,,,,,,,,,,,
32,vega/vega,v2.4.0,2015-11-30,,,,,,,,,,,,,
33,vega/vega,v2.4.1,2015-12-03,,,,,,,,,,,,,
34,vega/vega,v2.4.2,2015-12-16,,,,,,,,,,,,,
35,vega/vega,v2.5.0,2016-02-22,,,,,,,,,,,,,
36,vega/vega,v2.5.1,2016-03-01,,,,,,,,,,,,,
37,vega/vega,v2.5.2,2016-03-20,,,,,,,,,,,,,
38,vega/vega,v2.6.0,2016-06-21,,,,,,,,,,,,,
39,vega/vega,v2.6.1,2016-07-21,,,,,,,,,,,,,
40,vega/vega,v2.6.2,2016-08-26,,,,,,,,,,,,,
41,vega/vega,v2.6.3,2016-08-26,,,,,,,,,,,,,
42,vega/vega,v3.0.0-beta.1,2016-11-04,,,,,,,,,,,,,
43,vega/vega,v3.0.0-beta.2,2016-11-05,,,,,,,,,,,,,
44,vega/vega,v3.0.0-beta.3,2016-11-05,,,,,,,,,,,,,
45,vega/vega,v3.0.0-beta.4,2016-11-08,,,,,,,,,,,,,
46,vega/vega,v3.0.0-beta.6,2016-12-01,,,,,,,,,,,,,
47,vega/vega,v3.0.0-beta.7,2016-12-05,,,,,,,,,,,,,
48,vega/vega,v3.0.0-beta.8,2016-12-06,,,,,,,,,,,,,
49,vega/vega,v3.0.0-beta.10,2016-12-20,,,,,,,,,,,,,
50,vega/vega,v2.6.4,2017-01-05,,,,,,,,,,,,,
51,vega/vega,v3.0.0-beta.11,2017-01-05,,,,,,,,,,,,,
52,vega/vega,v2.6.5,2017-01-06,,,,,,,,,,,,,
53,vega/vega,v3.0.0-beta.12,2017-01-08,,,,,,,,,,,,,
54,vega/vega,v3.0.0-beta.13,2017-01-09,,,,,,,,,,,,,
55,vega/vega,v3.0.0-beta.14,2017-01-11,,,,,,,,,,,,,
56,vega/vega,v3.0.0-beta.15,2017-01-20,,,,,,,,,,,,,
57,vega/vega,v3.0.0-beta.16,2017-01-22,,,,,,,,,,,,,
58,vega/vega,v3.0.0-beta.17,2017-01-25,,,,,,,,,,,,,
59,vega/vega,v3.0.0-beta.19,2017-01-27,,,,,,,,,,,,,
60,vega/vega,v3.0.0-beta.18,2017-01-27,,,,,,,,,,,,,
61,vega/vega,v3.0.0-beta.20,2017-01-29,,,,,,,,,,,,,
62,vega/vega,v3.0.0-beta.21,2017-02-13,,,,,,,,,,,,,
63,vega/vega,v3.0.0-beta.22,2017-02-15,,,,,,,,,,,,,
64,vega/vega,v3.0.0-beta.23,2017-02-28,,,,,,,,,,,,,
65,vega/vega,v3.0.0-beta.24,2017-02-28,,,,,,,,,,,,,
66,vega/vega,v3.0.0-beta.25,2017-03-01,,,,,,,,,,,,,
67,vega/vega,v3.0.0-beta.26,2017-03-16,,,,,,,,,,,,,
68,vega/vega,v3.0.0-beta.27,2017-03-16,,,,,,,,,,,,,
69,vega/vega,v3.0.0-beta.28,2017-04-04,,,,,,,,,,,,,
70,vega/vega,v3.0.0-beta.29,2017-04-19,,,,,,,,,,,,,
71,vega/vega,v3.0.0-beta.30,2017-04-24,,,,,,,,,,,,,
72,vega/vega,v3.0.0-beta.31,2017-05-10,,,,,,,,,,,,,
73,vega/vega,v3.0.0-beta.32,2017-05-23,,,,,,,,,,,,,
74,vega/vega,v3.0.0-beta.33,2017-06-03,,,,,,,,,,,,,
75,vega/vega,v3.0.0-beta.34,2017-06-09,,,,,,,,,,,,,
76,vega/vega,v3.0.0-beta.35,2017-06-20,,,,,,,,,,,,,
77,vega/vega,v3.0.0-beta.38,2017-06-20,,,,,,,,,,,,,
78,vega/vega,v3.0.0-beta.37,2017-06-20,,,,,,,,,,,,,
79,vega/vega,v3.0.0-beta.36,2017-06-20,,,,,,,,,,,,,
80,vega/vega,v3.0.0-beta.39,2017-07-01,,,,,,,,,,,,,
81,vega/vega,v3.0.0-rc1,2017-07-03,,,,,,,,,,,,,
82,vega/vega,v3.0.0-rc2,2017-07-10,,,,,,,,,,,,,
83,vega/vega,v3.0.0-rc3,2017-07-13,,,,,,,,,,,,,
84,vega/vega,v3.0.0-rc4,2017-07-25,,,,,,,,,,,,,
85,vega/vega,v3.0.0-rc5,2017-08-02,,,,,,,,,,,,,
86,vega/vega,v3.0.0-rc6,2017-08-05,,,,,,,,,,,,,
87,vega/vega,v3.0.0-rc7,2017-08-08,,,,,,,,,,,,,
88,vega/vega,v3.0.0,2017-08-10,,,,,,,,,,,,,
89,vega/vega,v3.0.1,2017-08-11,,,,,,,,,,,,,
90,vega/vega,v3.0.2,2017-08-17,,,,,,,,,,,,,
91,vega/vega,v3.0.3,2017-09-29,,,,,,,,,,,,,
92,vega/vega,v3.0.4,2017-09-30,,,,,,,,,,,,,
93,vega/vega,v3.0.5,2017-09-30,,,,,,,,,,,,,
94,vega/vega,v3.0.6,2017-10-18,,,,,,,,,,,,,
95,vega/vega,v3.0.7,2017-10-24,,,,,,,,,,,,,
96,vega/vega,v3.0.8,2017-11-30,,,,,,,,,,,,,
97,vega/vega,v3.0.9,2018-01-17,,,,,,,,,,,,,
98,vega/vega,v3.0.10,2018-01-24,,,,,,,,,,,,,
99,vega/vega,v3.1.0,2018-02-19,,,,,,,,,,,,,
100,vega/vega,v3.2.0,2018-03-05,,,,,,,,,,,,,
101,vega/vega,v3.2.1,2018-03-06,,,,,,,,,,,,,
