,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vega/vega,v1.1.0,2013-04-03,,,,,,,,,,,,,,,,,,
1,vega/vega,v1.2.0,2013-04-11,RELEASE,113.0,17658.0,,,,,,,,,,,1.0,38.0,12.0,423.0,-1.0
2,vega/vega,v1.3.0,2013-07-18,RELEASE,134.0,76921.0,,,,,,,,,,,1.0,73.0,7.0,80.0,-1.0
3,vega/vega,v1.3.1,2013-07-22,,,,,,,,,,,,,,,,,,
4,vega/vega,v1.3.2,2013-07-25,,,,,,,,,,,,,,,,,,
5,vega/vega,v1.3.3,2013-10-01,,,,,,,,,,,,,,,,,,
6,vega/vega,v1.3.4,2014-04-30,,,,,,,,,,,,,,,,,,
7,vega/vega,v1.4.0,2014-05-01,,,,,,,,,,,,,,,,,,
8,vega/vega,v1.4.1,2014-07-14,,,,,,,,,,,,,,,,,,
9,vega/vega,v1.4.2,2014-09-02,,,,,,,,,,,,,,,,,,
10,vega/vega,v1.4.3,2014-12-17,,,,,,,,,,,,,,,,,,
11,vega/vega,v1.5.0,2015-03-13,,,,,,,,,,,,,,,,,,
12,vega/vega,v1.5.4,2015-06-30,,,,,,,,,,,,,,,,,,
13,vega/vega,v1.5.1,2015-06-30,,,,,,,,,,,,,,,,,,
14,vega/vega,v2.0.0,2015-07-13,RELEASE,153.0,118800.0,,,,,,,,,,,1.0,574.0,4.0,22484.0,-1.0
15,vega/vega,v2.0.1,2015-07-13,RELEASE,153.0,118802.0,,,,,,,,,,,1.0,,4.0,22484.0,-1.0
16,vega/vega,v2.0.3,2015-07-14,RELEASE,153.0,118800.0,,,,,,,,,,,1.0,,4.0,22474.0,-1.0
17,vega/vega,v2.0.4,2015-07-15,RELEASE,153.0,120745.0,,,,,,,,,,,1.0,,4.0,24417.0,-1.0
18,vega/vega,v2.0.5,2015-07-21,RELEASE,153.0,120800.0,,,,,,,,,,,1.0,3.0,4.0,24449.0,-1.0
19,vega/vega,v2.0.6,2015-07-29,RELEASE,153.0,120543.0,,,,,,,,,,,1.0,,4.0,24098.0,-1.0
20,vega/vega,v2.1.1,2015-08-13,RELEASE,163.0,123394.0,,,,,,,,,,,1.0,,4.0,25483.0,-1.0
21,vega/vega,v2.1.0,2015-08-13,RELEASE,163.0,123395.0,,,,,,,,,,,1.0,,4.0,25484.0,-1.0
22,vega/vega,v2.1.2,2015-08-18,RELEASE,163.0,123414.0,,,,,,,,,,,1.0,,4.0,25493.0,-1.0
23,vega/vega,v2.2.0,2015-08-26,RELEASE,161.0,122526.0,,,,,,,,,,,1.0,,4.0,25196.0,-1.0
24,vega/vega,v2.2.1,2015-08-28,RELEASE,161.0,122326.0,,,,,,,,,,,1.0,,4.0,24953.0,-1.0
25,vega/vega,v2.2.3,2015-09-03,RELEASE,161.0,122368.0,,,,,,,,,,,1.0,,4.0,24995.0,-1.0
26,vega/vega,v2.2.2,2015-09-03,RELEASE,161.0,122543.0,,,,,,,,,,,1.0,,4.0,25170.0,-1.0
27,vega/vega,v2.2.4,2015-09-09,RELEASE,161.0,122440.0,,,,,,,,,,,1.0,,4.0,25029.0,-1.0
28,vega/vega,v2.2.5,2015-09-17,RELEASE,161.0,122515.0,,,,,,,,,,,1.0,1.0,4.0,25049.0,-1.0
29,vega/vega,v2.2.6,2015-09-22,RELEASE,161.0,122516.0,,,,,,,,,,,1.0,,4.0,25050.0,-1.0
30,vega/vega,v2.3.1,2015-10-22,RELEASE,163.0,129077.0,,,,,,,,,,,1.0,,4.0,26646.0,-1.0
31,vega/vega,v2.3.0,2015-10-22,RELEASE,163.0,129078.0,,,,,,,,,,,1.0,1.0,4.0,26645.0,-1.0
32,vega/vega,v2.4.0,2015-11-30,RELEASE,176.0,132236.0,,,,,,,,,,,1.0,12.0,4.0,28349.0,-1.0
33,vega/vega,v2.4.1,2015-12-03,RELEASE,176.0,132907.0,,,,,,,,,,,1.0,,4.0,29011.0,-1.0
34,vega/vega,v2.4.2,2015-12-16,RELEASE,176.0,132511.0,,,,,,,,,,,1.0,,5.0,28618.0,-1.0
35,vega/vega,v2.5.0,2016-02-22,RELEASE,164.0,50958.0,1.0,95.0,1.0,3.0,1.0,,,,,,1.0,6.0,4.0,28592.0,-1.0
36,vega/vega,v2.5.1,2016-03-01,RELEASE,165.0,51232.0,,,,,,,,,,,1.0,,4.0,28787.0,-1.0
37,vega/vega,v2.5.2,2016-03-20,RELEASE,165.0,51372.0,,,,,,,,,,,1.0,,4.0,28827.0,-1.0
38,vega/vega,v2.6.0,2016-06-21,RELEASE,178.0,52500.0,1.0,79.0,1.0,2.0,1.0,,,,,,1.0,5.0,4.0,29110.0,-1.0
39,vega/vega,v2.6.1,2016-07-21,RELEASE,178.0,52577.0,,,,,,,,,,,1.0,2.0,4.0,29136.0,-1.0
40,vega/vega,v2.6.2,2016-08-26,RELEASE,178.0,52578.0,,,,,,,,,,,1.0,,4.0,29136.0,-1.0
41,vega/vega,v2.6.3,2016-08-26,RELEASE,178.0,52584.0,,,,,,,,,,,1.0,,4.0,29136.0,-1.0
42,vega/vega,v3.0.0-beta.1,2016-11-04,,,,,,,,,,,,,,,,,,
43,vega/vega,v3.0.0-beta.2,2016-11-05,,,,,,,,,,,,,,,,,,
44,vega/vega,v3.0.0-beta.3,2016-11-05,,,,,,,,,,,,,,,,,,
45,vega/vega,v3.0.0-beta.4,2016-11-08,,,,,,,,,,,,,,,,,,
46,vega/vega,v3.0.0-beta.6,2016-12-01,,,,,,,,,,,,,,,,,,
47,vega/vega,v3.0.0-beta.7,2016-12-05,,,,,,,,,,,,,,,,,,
48,vega/vega,v3.0.0-beta.8,2016-12-06,,,,,,,,,,,,,,,,,,
49,vega/vega,v3.0.0-beta.10,2016-12-20,,,,,,,,,,,,,,,,,,
50,vega/vega,v2.6.4,2017-01-05,RELEASE,178.0,52745.0,,,,,,,,,,,1.0,1.0,4.0,29291.0,-1.0
51,vega/vega,v3.0.0-beta.11,2017-01-05,,,,,,,,,,,,,,,,,,
52,vega/vega,v2.6.5,2017-01-06,RELEASE,178.0,52787.0,,,,,,,,,,,1.0,1.0,4.0,29312.0,-1.0
53,vega/vega,v3.0.0-beta.12,2017-01-08,,,,,,,,,,,,,,,,,,
54,vega/vega,v3.0.0-beta.13,2017-01-09,,,,,,,,,,,,,,,,,,
55,vega/vega,v3.0.0-beta.14,2017-01-11,,,,,,,,,,,,,,,,,,
56,vega/vega,v3.0.0-beta.15,2017-01-20,,,,,,,,,,,,,,,,,,
57,vega/vega,v3.0.0-beta.16,2017-01-22,,,,,,,,,,,,,,,,,,
58,vega/vega,v3.0.0-beta.17,2017-01-25,,,,,,,,,,,,,,,,,,
59,vega/vega,v3.0.0-beta.19,2017-01-27,,,,,,,,,,,,,,,,,,
60,vega/vega,v3.0.0-beta.18,2017-01-27,,,,,,,,,,,,,,,,,,
61,vega/vega,v3.0.0-beta.20,2017-01-29,,,,,,,,,,,,,,,,,,
62,vega/vega,v3.0.0-beta.21,2017-02-13,,,,,,,,,,,,,,,,,,
63,vega/vega,v3.0.0-beta.22,2017-02-15,,,,,,,,,,,,,,,,,,
64,vega/vega,v3.0.0-beta.23,2017-02-28,,,,,,,,,,,,,,,,,,
65,vega/vega,v3.0.0-beta.24,2017-02-28,,,,,,,,,,,,,,,,,,
66,vega/vega,v3.0.0-beta.25,2017-03-01,,,,,,,,,,,,,,,,,,
67,vega/vega,v3.0.0-beta.26,2017-03-16,,,,,,,,,,,,,,,,,,
68,vega/vega,v3.0.0-beta.27,2017-03-16,,,,,,,,,,,,,,,,,,
69,vega/vega,v3.0.0-beta.28,2017-04-04,,,,,,,,,,,,,,,,,,
70,vega/vega,v3.0.0-beta.29,2017-04-19,,,,,,,,,,,,,,,,,,
71,vega/vega,v3.0.0-beta.30,2017-04-24,,,,,,,,,,,,,,,,,,
72,vega/vega,v3.0.0-beta.31,2017-05-10,,,,,,,,,,,,,,,,,,
73,vega/vega,v3.0.0-beta.32,2017-05-23,,,,,,,,,,,,,,,,,,
74,vega/vega,v3.0.0-beta.33,2017-06-03,,,,,,,,,,,,,,,,,,
75,vega/vega,v3.0.0-beta.34,2017-06-09,,,,,,,,,,,,,,,,,,
76,vega/vega,v3.0.0-beta.35,2017-06-20,,,,,,,,,,,,,,,,,,
77,vega/vega,v3.0.0-beta.38,2017-06-20,,,,,,,,,,,,,,,,,,
78,vega/vega,v3.0.0-beta.37,2017-06-20,,,,,,,,,,,,,,,,,,
79,vega/vega,v3.0.0-beta.36,2017-06-20,,,,,,,,,,,,,,,,,,
80,vega/vega,v3.0.0-beta.39,2017-07-01,,,,,,,,,,,,,,,,,,
81,vega/vega,v3.0.0-rc1,2017-07-03,,,,,,,,,,,,,,,,,,
82,vega/vega,v3.0.0-rc2,2017-07-10,,,,1.0,9.0,1.0,2.0,1.0,1.0,67.0,1.0,2.0,1.0,,,,,
83,vega/vega,v3.0.0-rc3,2017-07-13,,,,1.0,31.0,1.0,2.0,1.0,1.0,147.0,1.0,2.0,1.0,,,,,
84,vega/vega,v3.0.0-rc4,2017-07-25,,,,1.0,10.0,1.0,2.0,1.0,1.0,300.0,1.0,2.0,1.0,,,,,
85,vega/vega,v3.0.0-rc5,2017-08-02,,,,1.0,15.0,1.0,2.0,1.0,1.0,131.0,1.0,2.0,1.0,,,,,
86,vega/vega,v3.0.0-rc6,2017-08-05,,,,1.0,13.0,1.0,2.0,1.0,1.0,13.0,1.0,2.0,1.0,,,,,
87,vega/vega,v3.0.0-rc7,2017-08-08,,,,1.0,6.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,,,,,
88,vega/vega,v3.0.0,2017-08-10,,,,,,,,,,,,,,,,,,
89,vega/vega,v3.0.1,2017-08-11,,,,,,,,,,,,,,,,,,
90,vega/vega,v3.0.2,2017-08-17,,,,,,,,,,,,,,,,,,
91,vega/vega,v3.0.3,2017-09-29,,,,,,,,,,,,,,,,,,
92,vega/vega,v3.0.4,2017-09-30,,,,,,,,,,,,,,,,,,
93,vega/vega,v3.0.5,2017-09-30,,,,,,,,,,,,,,,,,,
94,vega/vega,v3.0.6,2017-10-18,,,,,,,,,,,,,,,,,,
95,vega/vega,v3.0.7,2017-10-24,,,,,,,,,,,,,,,,,,
96,vega/vega,v3.0.8,2017-11-30,,,,,,,,,,,,,,,,,,
97,vega/vega,v3.0.9,2018-01-17,,,,,,,,,,,,,,,,,,
98,vega/vega,v3.0.10,2018-01-24,,,,,,,,,,,,,,,,,,
99,vega/vega,v3.1.0,2018-02-19,,,,,,,,,,,,,,,,,,
100,vega/vega,v3.2.0,2018-03-05,,,,,,,,,,,,,,,,,,
101,vega/vega,v3.2.1,2018-03-06,,,,,,,,,,,,,,,,,,
102,vega/vega,v3.3.0,2018-04-20,,,,,,,,,,,,,,,,,,
103,vega/vega,v3.3.1,2018-04-22,,,,,,,,,,,,,,,,,,
104,vega/vega,v4.0.0-rc.1,2018-05-07,,,,,,,,,,,,,,,,,,
105,vega/vega,v4.0.0-rc.2,2018-05-24,,,,,,,,,,,,,,,,,,
106,vega/vega,v4.0.0-rc.3,2018-06-18,,,,,,,,,,,,,,,,,,
107,vega/vega,v4.0.0,2018-07-03,,,,,,,,,,,,,,,,,,
108,vega/vega,v4.1.0,2018-07-10,,,,,,,,,,,,,,,,,,
109,vega/vega,v4.2.0,2018-07-16,,,,,,,,,,,,,,,,,,
110,vega/vega,v4.3.0,2018-10-11,,,,,,,,,,,,,,,,,,
111,vega/vega,v4.4.0,2018-12-04,,,,,,,,,,,,,,,,,,
112,vega/vega,v5.0.0-rc1,2019-02-18,RELEASE,1548.0,1637867.0,1.0,2499.0,1.0,2.0,1.0,1.0,2731.0,1.0,2.0,1.0,1.0,2251.0,1.0,6.0,-1.0
113,vega/vega,v5.0.0-rc2,2019-02-23,,,,,,,,,,,,,,,,,,
114,vega/vega,v5.0.0-rc3,2019-02-26,,,,,,,,,,,,,,,,,,
115,vega/vega,v5.0.0-rc4,2019-03-01,,,,2.0,18.0,2.0,5.0,2.0,2.0,192.0,2.0,5.0,2.0,,,,,
116,vega/vega,v5.0.0-rc5,2019-03-02,,,,,,,,,,,,,,,,,,
117,vega/vega,v5.0.0,2019-03-04,,,,,,,,,,,,,,,,,,
118,vega/vega,v5.1.0,2019-03-07,,,,1.0,15.0,1.0,4.0,1.0,1.0,131.0,1.0,4.0,1.0,,,,,
119,vega/vega,v5.2.0,2019-03-09,,,,,,,,,,,,,,,,,,
120,vega/vega,v5.3.0,2019-03-14,,,,,,,,,,,,,,,,,,
121,vega/vega,v5.3.1,2019-03-20,,,,,,,,,,,,,,,,,,
122,vega/vega,v5.3.2,2019-03-24,,,,,,,,,,,,,,,,,,
123,vega/vega,v5.3.3,2019-03-30,,,,,,,,,,,,,,,,,,
