,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vega/vega,v1.1.0,2013-04-03,UPGRADE,101,15533,,,,,,,,,,,,,,,
1,vega/vega,v1.2.0,2013-04-11,UPGRADE,113,17658,,,,,,,,,,,,,,,
2,vega/vega,v1.3.0,2013-07-18,UPGRADE,134,76921,,,,,,,,,,,,,,,
3,vega/vega,v1.3.1,2013-07-22,UPGRADE,136,77190,,,,,,,,,,,,,,,
4,vega/vega,v1.3.2,2013-07-25,UPGRADE,136,77244,,,,,,,,,,,,,,,
5,vega/vega,v1.3.3,2013-10-01,UPGRADE,136,77386,,,,,,,,,,,,,,,
6,vega/vega,v1.3.4,2014-04-30,UPGRADE,138,78161,,,,,,,,,,,,,,,
7,vega/vega,v1.4.0,2014-05-01,UPGRADE,138,78179,,,,,,,,,,,,,,,
8,vega/vega,v1.4.1,2014-07-14,UPGRADE,138,78210,,,,,,,,,,,,,,,
9,vega/vega,v1.4.2,2014-09-02,UPGRADE,138,78276,,,,,,,,,,,,,,,
10,vega/vega,v1.4.3,2014-12-17,UPGRADE,140,78907,,,,,,,,,,,,,,,
11,vega/vega,v1.5.0,2015-03-13,UPGRADE,153,86372,,,,,,,,,,,1.0,61.0,2.0,4.0,-1.0
12,vega/vega,v1.5.4,2015-06-30,UPGRADE,155,86515,,,,,,,,,,,,,,,
13,vega/vega,v1.5.1,2015-06-30,UPGRADE,155,86515,,,,,,,,,,,,,,,
14,vega/vega,v2.0.0,2015-07-13,UPGRADE,153,118800,,,,,,,,,,,,,,,
15,vega/vega,v2.0.1,2015-07-13,UPGRADE,153,118802,,,,,,,,,,,,,,,
16,vega/vega,v2.0.3,2015-07-14,UPGRADE,153,118800,,,,,,,,,,,,,,,
17,vega/vega,v2.0.4,2015-07-15,UPGRADE,153,120745,,,,,,,,,,,,,,,
18,vega/vega,v2.0.5,2015-07-21,UPGRADE,153,120800,,,,,,,,,,,,,,,
19,vega/vega,v2.0.6,2015-07-29,UPGRADE,153,120543,1.0,12.0,1.0,4.0,1.0,,,,,,,,,,
20,vega/vega,v2.1.1,2015-08-13,UPGRADE,163,123394,,,,,,,,,,,,,,,
21,vega/vega,v2.1.0,2015-08-13,UPGRADE,163,123395,,,,,,,,,,,,,,,
22,vega/vega,v2.1.2,2015-08-18,UPGRADE,163,123414,,,,,,,,,,,,,,,
23,vega/vega,v2.2.0,2015-08-26,UPGRADE,161,122526,,,,,,,,,,,,,,,
24,vega/vega,v2.2.1,2015-08-28,UPGRADE,161,122326,,,,,,,,,,,,,,,
25,vega/vega,v2.2.3,2015-09-03,UPGRADE,161,122368,,,,,,,,,,,,,,,
26,vega/vega,v2.2.2,2015-09-03,UPGRADE,161,122543,,,,,,,,,,,,,,,
27,vega/vega,v2.2.4,2015-09-09,UPGRADE,161,122440,,,,,,,,,,,,,,,
28,vega/vega,v2.2.5,2015-09-17,UPGRADE,161,122515,,,,,,,,,,,,,,,
29,vega/vega,v2.2.6,2015-09-22,UPGRADE,161,122516,,,,,,,,,,,,,,,
30,vega/vega,v2.3.1,2015-10-22,UPGRADE,163,129077,,,,,,,,,,,,,,,
31,vega/vega,v2.3.0,2015-10-22,UPGRADE,163,129078,,,,,,,,,,,,,,,
32,vega/vega,v2.4.0,2015-11-30,UPGRADE,176,132236,,,,,,,,,,,,,,,
33,vega/vega,v2.4.1,2015-12-03,UPGRADE,176,132907,,,,,,,,,,,,,,,
34,vega/vega,v2.4.2,2015-12-16,UPGRADE,176,132511,,,,,,,,,,,,,,,
35,vega/vega,v2.5.0,2016-02-22,UPGRADE,164,50958,,,,,,,,,,,,,,,
36,vega/vega,v2.5.1,2016-03-01,UPGRADE,165,51232,,,,,,,,,,,,,,,
37,vega/vega,v2.5.2,2016-03-20,UPGRADE,165,51372,,,,,,,,,,,,,,,
38,vega/vega,v2.6.0,2016-06-21,UPGRADE,178,52500,,,,,,,,,,,,,,,
39,vega/vega,v2.6.1,2016-07-21,UPGRADE,178,52577,,,,,,,,,,,,,,,
40,vega/vega,v2.6.2,2016-08-26,UPGRADE,178,52578,,,,,,,,,,,,,,,
41,vega/vega,v2.6.3,2016-08-26,UPGRADE,178,52584,,,,,,,,,,,,,,,
42,vega/vega,v3.0.0-beta.1,2016-11-04,UPGRADE,97,98165,,,,,,,,,,,2.0,124.0,6.0,35.0,-1.0
43,vega/vega,v3.0.0-beta.2,2016-11-05,UPGRADE,149,98257,,,,,,,,,,,,,,,
44,vega/vega,v3.0.0-beta.3,2016-11-05,UPGRADE,149,98262,,,,,,,,,,,,,,,
45,vega/vega,v3.0.0-beta.4,2016-11-08,UPGRADE,149,98280,,,,,,,,,,,,,,,
46,vega/vega,v3.0.0-beta.6,2016-12-01,UPGRADE,151,98401,,,,,,,,,,,,,,,
47,vega/vega,v3.0.0-beta.7,2016-12-05,UPGRADE,153,98511,,,,,,,,,,,,,,,
48,vega/vega,v3.0.0-beta.8,2016-12-06,UPGRADE,153,98515,,,,,,,,,,,,,,,
49,vega/vega,v3.0.0-beta.10,2016-12-20,UPGRADE,154,98635,,,,,,,,,,,,,,,
50,vega/vega,v2.6.4,2017-01-05,UPGRADE,178,52745,,,,,,,,,,,,,,,
51,vega/vega,v3.0.0-beta.11,2017-01-05,UPGRADE,154,98644,,,,,,,,,,,2.0,126.0,6.0,35.0,-1.0
52,vega/vega,v2.6.5,2017-01-06,UPGRADE,178,52787,,,,,,,,,,,,,,,
53,vega/vega,v3.0.0-beta.12,2017-01-08,UPGRADE,162,99000,,,,,,,,,,,2.0,126.0,6.0,35.0,-1.0
54,vega/vega,v3.0.0-beta.13,2017-01-09,UPGRADE,163,99294,,,,,,,,,,,,,,,
55,vega/vega,v3.0.0-beta.14,2017-01-11,UPGRADE,163,99298,,,,,,,,,,,,,,,
56,vega/vega,v3.0.0-beta.15,2017-01-20,UPGRADE,171,102873,,,,,,,,,,,,,,,
57,vega/vega,v3.0.0-beta.16,2017-01-22,UPGRADE,171,102873,,,,,,,,,,,,,,,
58,vega/vega,v3.0.0-beta.17,2017-01-25,UPGRADE,172,102902,,,,,,,,,,,,,,,
59,vega/vega,v3.0.0-beta.19,2017-01-27,UPGRADE,180,103452,,,,,,,,,,,,,,,
60,vega/vega,v3.0.0-beta.18,2017-01-27,UPGRADE,180,103452,,,,,,,,,,,,,,,
61,vega/vega,v3.0.0-beta.20,2017-01-29,UPGRADE,180,103452,,,,,,,,,,,,,,,
62,vega/vega,v3.0.0-beta.21,2017-02-13,UPGRADE,180,103473,,,,,,,,,,,,,,,
63,vega/vega,v3.0.0-beta.22,2017-02-15,UPGRADE,180,103470,,,,,,,,,,,,,,,
64,vega/vega,v3.0.0-beta.23,2017-02-28,UPGRADE,180,103478,,,,,,,,,,,,,,,
65,vega/vega,v3.0.0-beta.24,2017-02-28,UPGRADE,180,103487,,,,,,,,,,,,,,,
66,vega/vega,v3.0.0-beta.25,2017-03-01,UPGRADE,180,103487,,,,,,,,,,,,,,,
67,vega/vega,v3.0.0-beta.26,2017-03-16,UPGRADE,557,440250,,,,,,,,,,,,,,,
68,vega/vega,v3.0.0-beta.27,2017-03-16,UPGRADE,558,440265,,,,,,,,,,,,,,,
69,vega/vega,v3.0.0-beta.28,2017-04-04,UPGRADE,563,440787,,,,,,,,,,,,,,,
70,vega/vega,v3.0.0-beta.29,2017-04-19,UPGRADE,563,442274,,,,,,,,,,,,,,,
71,vega/vega,v3.0.0-beta.30,2017-04-24,UPGRADE,577,444312,,,,,,,,,,,,,,,
72,vega/vega,v3.0.0-beta.31,2017-05-10,UPGRADE,591,448089,,,,,,,,,,,,,,,
73,vega/vega,v3.0.0-beta.32,2017-05-23,UPGRADE,591,448034,,,,,,,,,,,,,,,
74,vega/vega,v3.0.0-beta.33,2017-06-03,UPGRADE,610,728171,,,,,,,,,,,,,,,
75,vega/vega,v3.0.0-beta.34,2017-06-09,UPGRADE,611,729006,,,,,,,,,,,,,,,
76,vega/vega,v3.0.0-beta.35,2017-06-20,UPGRADE,614,729668,,,,,,,,,,,,,,,
77,vega/vega,v3.0.0-beta.38,2017-06-20,UPGRADE,615,729673,,,,,,,,,,,,,,,
78,vega/vega,v3.0.0-beta.37,2017-06-20,UPGRADE,615,729677,,,,,,,,,,,,,,,
79,vega/vega,v3.0.0-beta.36,2017-06-20,UPGRADE,615,729679,,,,,,,,,,,,,,,
80,vega/vega,v3.0.0-beta.39,2017-07-01,UPGRADE,615,731112,,,,,,,,,,,,,,,
81,vega/vega,v3.0.0-rc1,2017-07-03,UPGRADE,616,731429,,,,,,,,,,,,,,,
82,vega/vega,v3.0.0-rc2,2017-07-10,UPGRADE,616,731605,,,,,,,,,,,,,,,
83,vega/vega,v3.0.0-rc3,2017-07-13,UPGRADE,616,732024,,,,,,,,,,,,,,,
84,vega/vega,v3.0.0-rc4,2017-07-25,UPGRADE,616,732210,,,,,,,,,,,,,,,
85,vega/vega,v3.0.0-rc5,2017-08-02,UPGRADE,618,733561,,,,,,,,,,,,,,,
86,vega/vega,v3.0.0-rc6,2017-08-05,UPGRADE,625,780922,,,,,,,,,,,,,,,
87,vega/vega,v3.0.0-rc7,2017-08-08,UPGRADE,626,781269,,,,,,,,,,,,,,,
88,vega/vega,v3.0.0,2017-08-10,UPGRADE,632,781532,,,,,,,,,,,,,,,
89,vega/vega,v3.0.1,2017-08-11,UPGRADE,634,781942,,,,,,,,,,,,,,,
