,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,videojs/video.js,v2.0.3,2011-10-03,BUG,28,5463,,,,,,,,,,,,,,,
1,videojs/video.js,3.0r1,2012-01-09,BUG,81,10314,,,,,,,,,,,11.0,72.0,32.0,3612.0,-1.0
2,videojs/video.js,3.0.3,2012-01-12,BUG,84,10386,,,,,,,,,,,3.0,8.0,6.0,30.0,-1.0
3,videojs/video.js,3.0.4,2012-01-12,BUG,84,10389,,,,,,,,,,,2.0,2.0,1.0,3.0,-1.0
4,videojs/video.js,3.0.5,2012-01-12,BUG,84,10392,,,,,,,,,,,1.0,3.0,,0.0,-1.0
5,videojs/video.js,3.0.6,2012-01-12,BUG,84,10395,,,,,,,,,,,3.0,1.0,2.0,7.0,-1.0
6,videojs/video.js,3.0.7,2012-01-12,BUG,84,10397,,,,,,,,,,,3.0,1.0,3.0,8.0,-1.0
7,videojs/video.js,3.0.8,2012-01-23,BUG,84,10408,,,,,,,,,,,3.0,1.0,2.0,11.0,-1.0
8,videojs/video.js,3.1.0,2012-01-30,BUG,85,12959,,,,,,,,,,,23.0,47.0,23.0,332.0,-1.0
9,videojs/video.js,3.2.0,2012-03-20,BUG,88,14534,,,,,,,,,,,9.0,50.0,13.0,371.0,-1.0
10,videojs/video.js,3.2.1,2012-04-06,BUG,88,14537,,,,,,,,,,,2.0,4.0,1.0,3.0,-1.0
11,videojs/video.js,3.2.2,2012-05-02,BUG,88,14540,,,,,,,,,,,3.0,1.0,2.0,5.0,-1.0
12,videojs/video.js,3.2.3,2012-11-12,BUG,88,14550,,,,,,,,,,,4.0,1.0,2.0,11.0,-1.0
13,videojs/video.js,4.0.0,2013-05-20,BUG,122,17843,1.0,350.0,1.0,3.0,1.0,,,,,,71.0,342.0,110.0,4132.0,-1.0
14,videojs/video.js,v4.0.1,2013-05-22,BUG,122,17843,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
15,videojs/video.js,4.0.1,2013-05-22,BUG,122,17843,,,,,,,,,,,,,,,
16,videojs/video.js,v4.0.2,2013-05-23,BUG,122,17869,,,,,,,,,,,,,,,
17,videojs/video.js,v4.0.3,2013-05-28,BUG,122,17865,1.0,1.0,5.0,86.0,1.0,,,,,,,,,,
18,videojs/video.js,v4.0.4,2013-06-11,BUG,123,17935,1.0,2.0,3.0,75.0,1.0,,,,,,,,,,
19,videojs/video.js,v4.1.0,2013-06-28,BUG,123,17962,6.0,47.0,11.0,85.0,1.0,,,,,,2.0,16.0,2.0,13.0,-1.0
20,videojs/video.js,v4.2.0,2013-09-04,BUG,123,18936,18.0,51.0,48.0,1250.0,1.0,,,,,,8.0,15.0,10.0,88.0,-1.0
21,videojs/video.js,v4.2.1,2013-09-09,BUG,123,18944,2.0,3.0,2.0,11.0,1.0,,,,,,,,,,
22,videojs/video.js,v4.2.2,2013-10-15,BUG,123,18975,1.0,3.0,3.0,52.0,1.0,,,,,,,,,,
23,videojs/video.js,v4.3.0,2013-11-04,BUG,174,43653,4.0,31.0,40.0,1416.0,1.0,,,,,,,,,,
24,videojs/video.js,v4.3.0-1,2013-12-05,BUG,164,47567,3.0,24.0,8.0,225.0,1.0,,,,,,3.0,7.0,3.0,4.0,-1.0
25,videojs/video.js,v4.3.0-2,2013-12-05,BUG,165,47593,,,,,,,,,,,,,,,
26,videojs/video.js,v4.3.0-3,2013-12-05,BUG,166,47594,,,,,,,,,,,1.0,2.0,1.0,2.0,-1.0
27,videojs/video.js,v4.3.0-4,2013-12-29,BUG,165,47593,,,,,,,,,,,1.0,2.0,1.0,0.0,-1.0
28,videojs/video.js,v4.3.0-5,2014-01-03,BUG,165,47593,,,,,,,,,,,1.0,2.0,1.0,0.0,-1.0
29,videojs/video.js,v4.3.0-7,2014-01-20,BUG,165,47593,,,,,,,,,,,,,,,
30,videojs/video.js,v4.3.0-6,2014-01-20,BUG,165,47593,,,,,,,,,,,1.0,2.0,1.0,0.0,-1.0
31,videojs/video.js,v4.3.0-8,2014-01-24,BUG,165,47611,,,,,,,,,,,1.0,4.0,1.0,2.0,-1.0
32,videojs/video.js,v4.3.0-9,2014-01-26,BUG,165,47630,,,,,,,,,,,,,,,
33,videojs/video.js,v4.3.0-10,2014-01-28,BUG,165,47630,,,,,,,,,,,,,,,
34,videojs/video.js,v0.4.4-alpha,2014-02-06,BUG,145,39197,5.0,42.0,5.0,23.0,1.0,,,,,,6.0,14.0,14.0,114.0,-1.0
35,videojs/video.js,v4.4.0,2014-02-18,BUG,159,48820,5.0,26.0,4.0,8.0,1.0,,,,,,,,,,
36,videojs/video.js,v4.4.1,2014-02-18,BUG,159,48837,1.0,5.0,1.0,4.0,1.0,,,,,,,,,,
37,videojs/video.js,v4.4.2,2014-02-24,BUG,159,49003,1.0,6.0,2.0,12.0,1.0,,,,,,1.0,2.0,1.0,2.0,-1.0
38,videojs/video.js,v4.4.3,2014-03-06,BUG,160,50124,,,,,,,,,,,1.0,1.0,3.0,20.0,-1.0
39,videojs/video.js,v4.5.0,2014-03-27,BUG,161,50452,7.0,59.0,4.0,14.0,2.0,,,,,,9.0,28.0,8.0,47.0,-1.0
40,videojs/video.js,v4.5.1,2014-03-27,BUG,161,50459,1.0,2.0,2.0,8.0,1.0,,,,,,,,,,
41,videojs/video.js,v4.6.0-a,2014-04-08,BUG,161,50598,,,,,,,,,,,,,,,
42,videojs/video.js,v4.5.2,2014-04-12,BUG,161,50481,,,,,,,,,,,,,,,
43,videojs/video.js,v4.6.0-b,2014-05-13,BUG,172,52130,4.0,43.0,1.0,84.0,1.0,,,,,,4.0,24.0,5.0,65.0,-1.0
44,videojs/video.js,v4.6.1-b,2014-05-14,BUG,174,52740,1.0,6.0,2.0,29.0,1.0,,,,,,1.0,4.0,8.0,936.0,-1.0
45,videojs/video.js,v4.6.0-b1,2014-05-14,BUG,174,52740,,,,,,,,,,,,,,,
46,videojs/video.js,v4.6.0,2014-05-20,BUG,166,53881,6.0,9.0,16.0,345.0,1.0,,,,,,,,,,
47,videojs/video.js,v4.6.1,2014-05-20,BUG,166,53884,,,,,,,,,,,,,,,
48,videojs/video.js,v4.6.2,2014-06-10,BUG,166,53942,1.0,1.0,5.0,121.0,1.0,,,,,,,,,,
49,videojs/video.js,v4.6.3,2014-06-12,BUG,166,53946,2.0,2.0,3.0,9.0,1.0,,,,,,,,,,
50,videojs/video.js,v4.6.4,2014-07-11,BUG,166,53693,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,
51,videojs/video.js,v4.7.0,2014-08-05,BUG,168,54565,15.0,81.0,17.0,117.0,1.0,,,,,,9.0,28.0,12.0,48.0,-1.0
52,videojs/video.js,v4.7.1,2014-08-06,BUG,168,54568,,,,,,,,,,,,,,,
53,videojs/video.js,v4.7.2,2014-08-14,BUG,169,54683,1.0,5.0,2.0,83.0,1.0,,,,,,,,,,
54,videojs/video.js,v4.7.3,2014-08-20,BUG,171,55118,1.0,4.0,8.0,404.0,1.0,,,,,,,,,,
55,videojs/video.js,v4.8.0,2014-09-03,BUG,174,55376,7.0,41.0,16.0,126.0,2.0,,,,,,3.0,7.0,3.0,12.0,-1.0
56,videojs/video.js,v4.8.1,2014-09-05,BUG,176,55515,3.0,11.0,8.0,46.0,1.0,,,,,,,,,,
57,videojs/video.js,v4.8.2,2014-09-16,BUG,176,55550,1.0,2.0,2.0,30.0,1.0,,,,,,,,,,
58,videojs/video.js,v4.8.3,2014-09-22,BUG,177,55579,,,,,,,,,,,,,,,
59,videojs/video.js,v4.8.4,2014-09-23,BUG,177,55624,1.0,3.0,3.0,25.0,1.0,,,,,,,,,,
60,videojs/video.js,v4.8.5,2014-09-25,BUG,177,55627,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,
61,videojs/video.js,v4.9.0,2014-09-30,BUG,184,56702,8.0,27.0,15.0,74.0,3.0,,,,,,,,,,
62,videojs/video.js,v4.9.1,2014-10-15,BUG,187,56782,2.0,1.0,3.0,7.0,1.0,,,,,,,,,,
63,videojs/video.js,v4.10.0,2014-10-28,BUG,192,59520,4.0,21.0,6.0,75.0,1.0,,,,,,2.0,6.0,18.0,298.0,-1.0
64,videojs/video.js,v4.10.1,2014-10-29,BUG,192,59521,,,,,,,,,,,,,,,
65,videojs/video.js,v4.10.2,2014-10-30,BUG,192,59542,1.0,3.0,1.0,4.0,1.0,,,,,,3.0,1.0,7.0,50.0,-1.0
66,videojs/video.js,v4.11.0,2014-12-04,BUG,198,63342,5.0,21.0,14.0,92.0,2.0,,,,,,4.0,2.0,5.0,11.0,-1.0
67,videojs/video.js,v4.11.1,2014-12-04,BUG,198,63345,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,
68,videojs/video.js,v4.11.2,2014-12-17,BUG,198,63353,1.0,2.0,2.0,10.0,1.0,,,,,,,,,,
