,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,videojs/video.js,v2.0.3,2011-10-03,,,,,,,,,,,,,
1,videojs/video.js,3.0r1,2012-01-09,,,,,,,,,,,,,
2,videojs/video.js,3.0.3,2012-01-12,,,,,,,,,,,,,
3,videojs/video.js,3.0.4,2012-01-12,,,,,,,,,,,,,
4,videojs/video.js,3.0.5,2012-01-12,,,,,,,,,,,,,
5,videojs/video.js,3.0.6,2012-01-12,,,,,,,,,,,,,
6,videojs/video.js,3.0.7,2012-01-12,,,,,,,,,,,,,
7,videojs/video.js,3.0.8,2012-01-23,,,,,,,,,,,,,
8,videojs/video.js,3.1.0,2012-01-30,,,,,,,,,,,,,
9,videojs/video.js,3.2.0,2012-03-20,,,,,,,,,,,,,
10,videojs/video.js,3.2.1,2012-04-06,,,,,,,,,,,,,
11,videojs/video.js,3.2.2,2012-05-02,,,,,,,,,,,,,
12,videojs/video.js,3.2.3,2012-11-12,,,,,,,,,,,,,
13,videojs/video.js,4.0.0,2013-05-20,DOCS,122.0,17843.0,1.0,409.0,7.0,42.0,1.0,,,,,
14,videojs/video.js,v4.0.1,2013-05-22,,,,,,,,,,,,,
15,videojs/video.js,4.0.1,2013-05-22,,,,,,,,,,,,,
16,videojs/video.js,v4.0.2,2013-05-23,,,,,,,,,,,,,
17,videojs/video.js,v4.0.3,2013-05-28,,,,,,,,,,,,,
18,videojs/video.js,v4.0.4,2013-06-11,,,,,,,,,,,,,
19,videojs/video.js,v4.1.0,2013-06-28,,,,,,,,,,,,,
20,videojs/video.js,v4.2.0,2013-09-04,,,,,,,,,,,,,
21,videojs/video.js,v4.2.1,2013-09-09,,,,,,,,,,,,,
22,videojs/video.js,v4.2.2,2013-10-15,,,,,,,,,,,,,
23,videojs/video.js,v4.3.0,2013-11-04,DOCS,174.0,43653.0,2.0,33.0,49.0,24037.0,1.0,,,,,
24,videojs/video.js,v4.3.0-1,2013-12-05,DOCS,164.0,47567.0,1.0,29.0,46.0,2311.0,1.0,,,,,
25,videojs/video.js,v4.3.0-2,2013-12-05,,,,,,,,,,,,,
26,videojs/video.js,v4.3.0-3,2013-12-05,,,,,,,,,,,,,
27,videojs/video.js,v4.3.0-4,2013-12-29,,,,,,,,,,,,,
28,videojs/video.js,v4.3.0-5,2014-01-03,,,,,,,,,,,,,
29,videojs/video.js,v4.3.0-7,2014-01-20,,,,,,,,,,,,,
30,videojs/video.js,v4.3.0-6,2014-01-20,,,,,,,,,,,,,
31,videojs/video.js,v4.3.0-8,2014-01-24,,,,,,,,,,,,,
32,videojs/video.js,v4.3.0-9,2014-01-26,,,,,,,,,,,,,
33,videojs/video.js,v4.3.0-10,2014-01-28,,,,,,,,,,,,,
34,videojs/video.js,v0.4.4-alpha,2014-02-06,DOCS,145.0,39197.0,1.0,51.0,,0.0,1.0,,,,,
35,videojs/video.js,v4.4.0,2014-02-18,,,,,,,,,,,,,
36,videojs/video.js,v4.4.1,2014-02-18,,,,,,,,,,,,,
37,videojs/video.js,v4.4.2,2014-02-24,,,,,,,,,,,,,
38,videojs/video.js,v4.4.3,2014-03-06,,,,,,,,,,,,,
39,videojs/video.js,v4.5.0,2014-03-27,,,,,,,,,,,,,
40,videojs/video.js,v4.5.1,2014-03-27,,,,,,,,,,,,,
