,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,videojs/video.js,v2.0.3,2011-10-03,SUPPORT,28,5463,,,,,,,,,,,,,,,
1,videojs/video.js,3.0r1,2012-01-09,SUPPORT,81,10314,,,,,,,,,,,5.0,78.0,21.0,638.0,-1.0
2,videojs/video.js,3.0.3,2012-01-12,SUPPORT,84,10386,,,,,,,,,,,,,,,
3,videojs/video.js,3.0.4,2012-01-12,SUPPORT,84,10389,,,,,,,,,,,,,,,
4,videojs/video.js,3.0.5,2012-01-12,SUPPORT,84,10392,,,,,,,,,,,,,,,
5,videojs/video.js,3.0.6,2012-01-12,SUPPORT,84,10395,,,,,,,,,,,,,,,
6,videojs/video.js,3.0.7,2012-01-12,SUPPORT,84,10397,,,,,,,,,,,,,,,
7,videojs/video.js,3.0.8,2012-01-23,SUPPORT,84,10408,,,,,,,,,,,,,,,
8,videojs/video.js,3.1.0,2012-01-30,SUPPORT,85,12959,,,,,,,,,,,,,,,
9,videojs/video.js,3.2.0,2012-03-20,SUPPORT,88,14534,,,,,,,,,,,2.0,57.0,7.0,744.0,-1.0
10,videojs/video.js,3.2.1,2012-04-06,SUPPORT,88,14537,,,,,,,,,,,,,,,
11,videojs/video.js,3.2.2,2012-05-02,SUPPORT,88,14540,,,,,,,,,,,,,,,
12,videojs/video.js,3.2.3,2012-11-12,SUPPORT,88,14550,,,,,,,,,,,,,,,
13,videojs/video.js,4.0.0,2013-05-20,SUPPORT,122,17843,,,,,,,,,,,23.0,390.0,101.0,14435.0,-1.0
14,videojs/video.js,v4.0.1,2013-05-22,SUPPORT,122,17843,,,,,,,,,,,,,,,
15,videojs/video.js,4.0.1,2013-05-22,SUPPORT,122,17843,,,,,,,,,,,,,,,
16,videojs/video.js,v4.0.2,2013-05-23,SUPPORT,122,17869,,,,,,,,,,,,,,,
17,videojs/video.js,v4.0.3,2013-05-28,SUPPORT,122,17865,,,,,,,,,,,,,,,
18,videojs/video.js,v4.0.4,2013-06-11,SUPPORT,123,17935,,,,,,,,,,,,,,,
19,videojs/video.js,v4.1.0,2013-06-28,SUPPORT,123,17962,,,,,,,,,,,,,,,
20,videojs/video.js,v4.2.0,2013-09-04,SUPPORT,123,18936,,,,,,,,,,,,,,,
21,videojs/video.js,v4.2.1,2013-09-09,SUPPORT,123,18944,,,,,,,,,,,,,,,
22,videojs/video.js,v4.2.2,2013-10-15,SUPPORT,123,18975,,,,,,,,,,,,,,,
23,videojs/video.js,v4.3.0,2013-11-04,SUPPORT,174,43653,,,,,,,,,,,,,,,
24,videojs/video.js,v4.3.0-1,2013-12-05,SUPPORT,164,47567,,,,,,,,,,,,,,,
25,videojs/video.js,v4.3.0-2,2013-12-05,SUPPORT,165,47593,,,,,,,,,,,,,,,
26,videojs/video.js,v4.3.0-3,2013-12-05,SUPPORT,166,47594,,,,,,,,,,,,,,,
27,videojs/video.js,v4.3.0-4,2013-12-29,SUPPORT,165,47593,,,,,,,,,,,,,,,
28,videojs/video.js,v4.3.0-5,2014-01-03,SUPPORT,165,47593,,,,,,,,,,,,,,,
29,videojs/video.js,v4.3.0-7,2014-01-20,SUPPORT,165,47593,,,,,,,,,,,,,,,
30,videojs/video.js,v4.3.0-6,2014-01-20,SUPPORT,165,47593,,,,,,,,,,,,,,,
31,videojs/video.js,v4.3.0-8,2014-01-24,SUPPORT,165,47611,,,,,,,,,,,,,,,
32,videojs/video.js,v4.3.0-9,2014-01-26,SUPPORT,165,47630,,,,,,,,,,,,,,,
33,videojs/video.js,v4.3.0-10,2014-01-28,SUPPORT,165,47630,,,,,,,,,,,,,,,
34,videojs/video.js,v0.4.4-alpha,2014-02-06,SUPPORT,145,39197,,,,,,,,,,,1.0,19.0,2.0,35.0,-1.0
35,videojs/video.js,v4.4.0,2014-02-18,SUPPORT,159,48820,,,,,,,,,,,,,,,
36,videojs/video.js,v4.4.1,2014-02-18,SUPPORT,159,48837,,,,,,,,,,,,,,,
37,videojs/video.js,v4.4.2,2014-02-24,SUPPORT,159,49003,,,,,,,,,,,,,,,
38,videojs/video.js,v4.4.3,2014-03-06,SUPPORT,160,50124,,,,,,,,,,,,,,,
39,videojs/video.js,v4.5.0,2014-03-27,SUPPORT,161,50452,1.0,74.0,,0.0,1.0,,,,,,,,,,
40,videojs/video.js,v4.5.1,2014-03-27,SUPPORT,161,50459,,,,,,,,,,,,,,,
41,videojs/video.js,v4.6.0-a,2014-04-08,SUPPORT,161,50598,,,,,,,,,,,,,,,
42,videojs/video.js,v4.5.2,2014-04-12,SUPPORT,161,50481,,,,,,,,,,,,,,,
43,videojs/video.js,v4.6.0-b,2014-05-13,SUPPORT,172,52130,,,,,,,,,,,,,,,
44,videojs/video.js,v4.6.1-b,2014-05-14,SUPPORT,174,52740,1.0,7.0,15.0,234.0,1.0,,,,,,,,,,
45,videojs/video.js,v4.6.0-b1,2014-05-14,SUPPORT,174,52740,,,,,,,,,,,,,,,
46,videojs/video.js,v4.6.0,2014-05-20,SUPPORT,166,53881,,,,,,,,,,,,,,,
47,videojs/video.js,v4.6.1,2014-05-20,SUPPORT,166,53884,,,,,,,,,,,,,,,
48,videojs/video.js,v4.6.2,2014-06-10,SUPPORT,166,53942,,,,,,,,,,,,,,,
49,videojs/video.js,v4.6.3,2014-06-12,SUPPORT,166,53946,,,,,,,,,,,,,,,
50,videojs/video.js,v4.6.4,2014-07-11,SUPPORT,166,53693,,,,,,,,,,,,,,,
51,videojs/video.js,v4.7.0,2014-08-05,SUPPORT,168,54565,3.0,102.0,29.0,469.0,3.0,,,,,,,,,,
52,videojs/video.js,v4.7.1,2014-08-06,SUPPORT,168,54568,,,,,,,,,,,,,,,
53,videojs/video.js,v4.7.2,2014-08-14,SUPPORT,169,54683,,,,,,,,,,,,,,,
54,videojs/video.js,v4.7.3,2014-08-20,SUPPORT,171,55118,,,,,,,,,,,,,,,
55,videojs/video.js,v4.8.0,2014-09-03,SUPPORT,174,55376,1.0,50.0,2.0,47.0,1.0,,,,,,,,,,
