,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vuejs/vue,v0.7.0,2013-12-23,OTHER,100.0,23948.0,,,,,,,,,,,24.0,,111.0,1972.0,-1.0
1,vuejs/vue,v0.7.1,2013-12-24,OTHER,102.0,24280.0,,,,,,,,,,,2.0,,8.0,115.0,-1.0
2,vuejs/vue,v0.7.2,2013-12-28,OTHER,103.0,24312.0,,,,,,,,,,,1.0,,2.0,32.0,-1.0
3,vuejs/vue,v0.7.3,2014-01-06,OTHER,104.0,24690.0,,,,,,,,,,,9.0,,25.0,353.0,-1.0
4,vuejs/vue,v0.7.4,2014-01-10,OTHER,104.0,24649.0,,,,,,,,,,,3.0,,5.0,131.0,-1.0
5,vuejs/vue,v0.7.5,2014-01-13,OTHER,104.0,24562.0,,,,,,,,,,,2.0,,11.0,141.0,-1.0
6,vuejs/vue,v0.7.6,2014-01-18,OTHER,106.0,24742.0,,,,,,,,,,,4.0,,10.0,231.0,-1.0
7,vuejs/vue,v0.8.0,2014-01-27,OTHER,107.0,24794.0,,,,,,,,,,,13.0,,34.0,639.0,-1.0
8,vuejs/vue,v0.8.1,2014-02-02,OTHER,107.0,24787.0,,,,,,,,,,,3.0,,8.0,84.0,-1.0
9,vuejs/vue,v0.8.2,2014-02-03,OTHER,109.0,24934.0,,,,,,,,,,,2.0,,3.0,16.0,-1.0
10,vuejs/vue,v0.8.3,2014-02-07,OTHER,111.0,25304.0,,,,,,,,,,,9.0,,25.0,454.0,-1.0
11,vuejs/vue,v0.8.4,2014-02-08,OTHER,112.0,26281.0,,,,,,,,,,,7.0,,37.0,1694.0,-1.0
12,vuejs/vue,v0.8.5,2014-02-11,OTHER,114.0,26717.0,,,,,,,,,,,12.0,1.0,27.0,475.0,-1.0
13,vuejs/vue,v0.8.6,2014-02-14,OTHER,115.0,26669.0,,,,,,,,,,,7.0,1.0,20.0,327.0,-1.0
14,vuejs/vue,v0.8.7,2014-02-20,OTHER,118.0,27231.0,,,,,,,,,,,14.0,,43.0,742.0,-1.0
15,vuejs/vue,v0.8.8,2014-02-20,,,,,,,,,,,,,,,,,,
16,vuejs/vue,v0.9.0,2014-02-25,OTHER,120.0,27880.0,,,,,,,,,,,12.0,1.0,39.0,744.0,-1.0
17,vuejs/vue,v0.9.1,2014-02-25,,,,,,,,,,,,,,,,,,
18,vuejs/vue,v0.9.2,2014-02-25,,,,,,,,,,,,,,,,,,
19,vuejs/vue,v0.9.3,2014-03-02,OTHER,119.0,28537.0,,,,,,,,,,,19.0,,51.0,1421.0,-1.0
20,vuejs/vue,0.10.0-rc,2014-03-19,OTHER,126.0,29733.0,,,,,,,,,,,42.0,,151.0,5787.0,-1.0
21,vuejs/vue,v0.10.0,2014-03-23,OTHER,128.0,30268.0,,,,,,,,,,,16.0,,65.0,1418.0,-1.0
22,vuejs/vue,v0.10.1,2014-03-24,OTHER,128.0,30414.0,,,,,,,,,,,3.0,,5.0,22.0,-1.0
23,vuejs/vue,v0.10.2,2014-03-25,OTHER,128.0,30374.0,,,,,,,,,,,1.0,,2.0,28.0,-1.0
24,vuejs/vue,v0.10.3,2014-03-26,OTHER,128.0,30411.0,,,,,,,,,,,2.0,,3.0,240.0,-1.0
25,vuejs/vue,v0.10.4,2014-04-25,OTHER,127.0,30517.0,,,,,,,,,,,5.0,,15.0,324.0,-1.0
26,vuejs/vue,v0.10.5,2014-06-06,OTHER,127.0,30712.0,,,,,,,,,,,9.0,2.0,12.0,283.0,-1.0
27,vuejs/vue,v0.10.6,2014-07-28,OTHER,128.0,30935.0,,,,,,,,,,,10.0,3.0,11.0,215.0,-1.0
28,vuejs/vue,0.11.0-rc,2014-09-26,OTHER,173.0,28482.0,,,,,,,,,,,255.0,34.0,1017.0,37925.0,-1.0
29,vuejs/vue,0.11.0-rc2,2014-10-07,OTHER,173.0,28753.0,,,,,,,,,,,12.0,,36.0,7727.0,-1.0
30,vuejs/vue,0.11.0-rc3,2014-10-24,OTHER,174.0,29529.0,,,,,,,,,,,20.0,1.0,70.0,8637.0,-1.0
31,vuejs/vue,0.11.0,2014-11-06,OTHER,174.0,29794.0,,,,,,,,,,,20.0,,38.0,7943.0,-1.0
32,vuejs/vue,0.11.1,2014-11-30,OTHER,174.0,30544.0,,,,,,,,,,,27.0,,96.0,1213.0,-1.0
