,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vuejs/vue,v0.7.0,2013-12-23,REFACTOR,100,23948,,,,,,,,,,,1.0,,17.0,370.0,-1.0
1,vuejs/vue,v0.7.1,2013-12-24,REFACTOR,102,24280,,,,,,,,,,,,,,,
2,vuejs/vue,v0.7.2,2013-12-28,REFACTOR,103,24312,,,,,,,,,,,,,,,
3,vuejs/vue,v0.7.3,2014-01-06,REFACTOR,104,24690,,,,,,,,,,,,,,,
4,vuejs/vue,v0.7.4,2014-01-10,REFACTOR,104,24649,,,,,,,,,,,,,,,
5,vuejs/vue,v0.7.5,2014-01-13,REFACTOR,104,24562,,,,,,,,,,,,,,,
6,vuejs/vue,v0.7.6,2014-01-18,REFACTOR,106,24742,,,,,,,,,,,,,,,
7,vuejs/vue,v0.8.0,2014-01-27,REFACTOR,107,24794,,,,,,,,,,,2.0,,8.0,182.0,-1.0
8,vuejs/vue,v0.8.1,2014-02-02,REFACTOR,107,24787,,,,,,,,,,,,,,,
9,vuejs/vue,v0.8.2,2014-02-03,REFACTOR,109,24934,,,,,,,,,,,,,,,
10,vuejs/vue,v0.8.3,2014-02-07,REFACTOR,111,25304,,,,,,,,,,,,,,,
11,vuejs/vue,v0.8.4,2014-02-08,REFACTOR,112,26281,,,,,,,,,,,,,,,
12,vuejs/vue,v0.8.5,2014-02-11,REFACTOR,114,26717,,,,,,,,,,,1.0,1.0,8.0,144.0,-1.0
13,vuejs/vue,v0.8.6,2014-02-14,REFACTOR,115,26669,,,,,,,,,,,,,,,
14,vuejs/vue,v0.8.7,2014-02-20,REFACTOR,118,27231,,,,,,,,,,,,,,,
15,vuejs/vue,v0.8.8,2014-02-20,REFACTOR,118,27436,,,,,,,,,,,,,,,
16,vuejs/vue,v0.9.0,2014-02-25,REFACTOR,120,27880,,,,,,,,,,,2.0,2.0,8.0,604.0,-1.0
17,vuejs/vue,v0.9.1,2014-02-25,REFACTOR,120,27891,,,,,,,,,,,,,,,
18,vuejs/vue,v0.9.2,2014-02-25,REFACTOR,120,27909,,,,,,,,,,,,,,,
19,vuejs/vue,v0.9.3,2014-03-02,REFACTOR,119,28537,,,,,,,,,,,,,,,
20,vuejs/vue,0.10.0-rc,2014-03-19,REFACTOR,126,29733,,,,,,,,,,,3.0,,21.0,878.0,-1.0
21,vuejs/vue,v0.10.0,2014-03-23,REFACTOR,128,30268,,,,,,,,,,,,,,,
22,vuejs/vue,v0.10.1,2014-03-24,REFACTOR,128,30414,,,,,,,,,,,,,,,
23,vuejs/vue,v0.10.2,2014-03-25,REFACTOR,128,30374,,,,,,,,,,,,,,,
24,vuejs/vue,v0.10.3,2014-03-26,REFACTOR,128,30411,,,,,,,,,,,,,,,
