,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vuejs/vue,v0.7.0,2013-12-23,RELEASE,100.0,23948.0,,,,,,,,,,,1.0,,6.0,937.0,-1.0
1,vuejs/vue,v0.7.1,2013-12-24,RELEASE,102.0,24280.0,,,,,,,,,,,1.0,,6.0,178.0,-1.0
2,vuejs/vue,v0.7.2,2013-12-28,RELEASE,103.0,24312.0,,,,,,,,,,,1.0,,9.0,161.0,-1.0
3,vuejs/vue,v0.7.3,2014-01-06,RELEASE,104.0,24690.0,,,,,,,,,,,1.0,,6.0,193.0,-1.0
4,vuejs/vue,v0.7.4,2014-01-10,RELEASE,104.0,24649.0,,,,,,,,,,,1.0,,5.0,78.0,-1.0
5,vuejs/vue,v0.7.5,2014-01-13,RELEASE,104.0,24562.0,,,,,,,,,,,1.0,,5.0,57.0,-1.0
6,vuejs/vue,v0.7.6,2014-01-18,RELEASE,106.0,24742.0,,,,,,,,,,,1.0,,7.0,140.0,-1.0
7,vuejs/vue,v0.8.0,2014-01-27,RELEASE,107.0,24794.0,,,,,,,,,,,1.0,,5.0,409.0,-1.0
8,vuejs/vue,v0.8.1,2014-02-02,RELEASE,107.0,24787.0,,,,,,,,,,,1.0,,5.0,39.0,-1.0
9,vuejs/vue,v0.8.2,2014-02-03,RELEASE,109.0,24934.0,,,,,,,,,,,1.0,,5.0,82.0,-1.0
10,vuejs/vue,v0.8.3,2014-02-07,RELEASE,111.0,25304.0,,,,,,,,,,,1.0,,5.0,177.0,-1.0
11,vuejs/vue,v0.8.4,2014-02-08,RELEASE,112.0,26281.0,,,,,,,,,,,1.0,1.0,5.0,27.0,-1.0
12,vuejs/vue,v0.8.5,2014-02-11,RELEASE,114.0,26717.0,,,,,,,,,,,1.0,1.0,5.0,298.0,-1.0
13,vuejs/vue,v0.8.6,2014-02-14,RELEASE,115.0,26669.0,,,,,,,,,,,1.0,,11.0,266.0,-1.0
14,vuejs/vue,v0.8.7,2014-02-20,RELEASE,118.0,27231.0,,,,,,,,,,,1.0,1.0,6.0,579.0,-1.0
