,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,vuejs/vue,v0.7.0,2013-12-23,,,,,,,,,,,,,,,,,,
1,vuejs/vue,v0.7.1,2013-12-24,,,,,,,,,,,,,,,,,,
2,vuejs/vue,v0.7.2,2013-12-28,,,,,,,,,,,,,,,,,,
3,vuejs/vue,v0.7.3,2014-01-06,SUPPORT,104.0,24690.0,,,,,,,,,,,1.0,,9.0,247.0,-1.0
4,vuejs/vue,v0.7.4,2014-01-10,,,,,,,,,,,,,,,,,,
5,vuejs/vue,v0.7.5,2014-01-13,,,,,,,,,,,,,,,,,,
6,vuejs/vue,v0.7.6,2014-01-18,,,,,,,,,,,,,,,,,,
7,vuejs/vue,v0.8.0,2014-01-27,,,,,,,,,,,,,,,,,,
8,vuejs/vue,v0.8.1,2014-02-02,,,,,,,,,,,,,,,,,,
9,vuejs/vue,v0.8.2,2014-02-03,,,,,,,,,,,,,,,,,,
10,vuejs/vue,v0.8.3,2014-02-07,,,,,,,,,,,,,,,,,,
11,vuejs/vue,v0.8.4,2014-02-08,,,,,,,,,,,,,,,,,,
12,vuejs/vue,v0.8.5,2014-02-11,SUPPORT,114.0,26717.0,,,,,,,,,,,3.0,,5.0,163.0,-1.0
13,vuejs/vue,v0.8.6,2014-02-14,,,,,,,,,,,,,,,,,,
14,vuejs/vue,v0.8.7,2014-02-20,,,,,,,,,,,,,,,,,,
15,vuejs/vue,v0.8.8,2014-02-20,,,,,,,,,,,,,,,,,,
16,vuejs/vue,v0.9.0,2014-02-25,,,,,,,,,,,,,,,,,,
17,vuejs/vue,v0.9.1,2014-02-25,,,,,,,,,,,,,,,,,,
18,vuejs/vue,v0.9.2,2014-02-25,,,,,,,,,,,,,,,,,,
19,vuejs/vue,v0.9.3,2014-03-02,,,,,,,,,,,,,,,,,,
20,vuejs/vue,0.10.0-rc,2014-03-19,,,,,,,,,,,,,,,,,,
21,vuejs/vue,v0.10.0,2014-03-23,SUPPORT,128.0,30268.0,,,,,,,,,,,1.0,,1.0,5.0,-1.0
22,vuejs/vue,v0.10.1,2014-03-24,SUPPORT,128.0,30414.0,,,,,,,,,,,1.0,,9.0,492.0,-1.0
23,vuejs/vue,v0.10.2,2014-03-25,,,,,,,,,,,,,,,,,,
24,vuejs/vue,v0.10.3,2014-03-26,,,,,,,,,,,,,,,,,,
25,vuejs/vue,v0.10.4,2014-04-25,,,,,,,,,,,,,,,,,,
26,vuejs/vue,v0.10.5,2014-06-06,,,,,,,,,,,,,,,,,,
27,vuejs/vue,v0.10.6,2014-07-28,SUPPORT,128.0,30935.0,,,,,,,,,,,1.0,4.0,1.0,14.0,-1.0
28,vuejs/vue,0.11.0-rc,2014-09-26,SUPPORT,173.0,28482.0,,,,,,,,,,,1.0,83.0,3.0,83.0,-1.0
29,vuejs/vue,0.11.0-rc2,2014-10-07,,,,,,,,,,,,,,,,,,
30,vuejs/vue,0.11.0-rc3,2014-10-24,SUPPORT,174.0,29529.0,,,,,,,,,,,2.0,1.0,6.0,81.0,-1.0
31,vuejs/vue,0.11.0,2014-11-06,,,,,,,,,,,,,,,,,,
32,vuejs/vue,0.11.1,2014-11-30,SUPPORT,174.0,30544.0,,,,,,,,,,,1.0,,2.0,95.0,-1.0
33,vuejs/vue,0.11.2,2014-12-01,,,,,,,,,,,,,,,,,,
34,vuejs/vue,0.11.3,2014-12-02,,,,,,,,,,,,,,,,,,
35,vuejs/vue,0.11.4,2014-12-07,,,,,,,,,,,,,,,,,,
36,vuejs/vue,0.11.5,2015-02-05,,,,,,,,,,,,,,,,,,
37,vuejs/vue,0.11.6,2015-04-18,SUPPORT,179.0,32749.0,,,,,,,,,,,3.0,9.0,7.0,93.0,-1.0
38,vuejs/vue,0.11.7,2015-04-20,,,,,,,,,,,,,,,,,,
39,vuejs/vue,0.11.8,2015-04-21,,,,,,,,,,,,,,,,,,
40,vuejs/vue,0.11.9,2015-05-06,SUPPORT,178.0,32658.0,,,,,,,,,,,2.0,1.0,4.0,109.0,-1.0
41,vuejs/vue,0.11.10,2015-05-07,,,,,,,,,,,,,,,,,,
42,vuejs/vue,0.12.0-beta2,2015-05-16,,,,,,,,,,,,,,,,,,
43,vuejs/vue,0.12.0-beta3,2015-05-22,,,,,,,,,,,,,,,,,,
44,vuejs/vue,0.12.0-beta4,2015-05-26,SUPPORT,180.0,33521.0,,,,,,,,,,,1.0,,2.0,9.0,-1.0
45,vuejs/vue,0.12.0-beta5,2015-05-29,,,,,,,,,,,,,,,,,,
46,vuejs/vue,0.12.0-rc,2015-06-01,SUPPORT,180.0,33801.0,,,,,,,,,,,3.0,1.0,10.0,233.0,-1.0
47,vuejs/vue,0.12.0-rc2,2015-06-04,,,,,,,,,,,,,,,,,,
48,vuejs/vue,0.12.0,2015-06-12,SUPPORT,184.0,34917.0,,,,,,,,,,,3.0,2.0,6.0,160.0,-1.0
49,vuejs/vue,0.12.0-csp,2015-06-12,,,,,,,,,,,,,,,,,,
50,vuejs/vue,0.12.1,2015-06-14,SUPPORT,184.0,35412.0,,,,,,,,,,,1.0,,2.0,10.0,-1.0
51,vuejs/vue,0.12.1-csp,2015-06-14,,,,,,,,,,,,,,,,,,
52,vuejs/vue,0.12.1-csp.1,2015-06-16,,,,,,,,,,,,,,,,,,
53,vuejs/vue,0.12.1-csp.2,2015-06-16,,,,,,,,,,,,,,,,,,
54,vuejs/vue,0.12.2,2015-06-25,,,,,,,,,,,,,,,,,,
55,vuejs/vue,0.12.4,2015-06-25,,,,,,,,,,,,,,,,,,
56,vuejs/vue,0.12.3,2015-06-25,,,,,,,,,,,,,,,,,,
57,vuejs/vue,0.12.5,2015-07-02,SUPPORT,190.0,36382.0,,,,,,,,,,,2.0,,3.0,51.0,-1.0
58,vuejs/vue,0.12.6,2015-07-05,SUPPORT,191.0,36524.0,,,,,,,,,,,1.0,4.0,4.0,41.0,-1.0
59,vuejs/vue,0.12.6-csp,2015-07-05,,,,,,,,,,,,,,,,,,
60,vuejs/vue,0.12.7,2015-07-08,SUPPORT,191.0,36754.0,,,,,,,,,,,1.0,6.0,4.0,79.0,-1.0
61,vuejs/vue,0.12.7-csp,2015-07-08,,,,,,,,,,,,,,,,,,
62,vuejs/vue,0.12.8,2015-07-23,SUPPORT,194.0,37396.0,,,,,,,,,,,2.0,30.0,5.0,298.0,-1.0
63,vuejs/vue,0.12.8-csp,2015-07-23,,,,,,,,,,,,,,,,,,
64,vuejs/vue,0.12.9,2015-07-31,SUPPORT,192.0,36116.0,,,,,,,,,,,1.0,23.0,2.0,30.0,-1.0
65,vuejs/vue,0.12.9-csp,2015-07-31,,,,,,,,,,,,,,,,,,
66,vuejs/vue,0.12.10,2015-08-09,SUPPORT,198.0,37672.0,,,,,,,,,,,1.0,26.0,2.0,53.0,-1.0
67,vuejs/vue,0.12.10-csp,2015-08-09,,,,,,,,,,,,,,,,,,
