,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,webpack/webpack,v1.0.0-beta3,2013-12-29,,,,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,
1,webpack/webpack,v1.0.0-beta4,2013-12-29,,,,1.0,1.0,2.0,43.0,1.0,,,,,,,,,,
2,webpack/webpack,v1.0.0-beta5,2014-01-08,,,,1.0,4.0,3.0,18.0,1.0,,,,,,,,,,
3,webpack/webpack,v1.0.0-beta6,2014-01-10,,,,,,,,,,,,,,,,,,
4,webpack/webpack,v1.0.0-beta7,2014-01-21,BUG,540.0,24840.0,2.0,8.0,3.0,22.0,2.0,,,,,,1.0,,10.0,98.0,-1.0
5,webpack/webpack,v1.0.0-beta8,2014-01-24,,,,2.0,10.0,3.0,10.0,2.0,,,,,,,,,,
6,webpack/webpack,v1.0.0-beta9,2014-01-31,,,,1.0,12.0,3.0,23.0,1.0,,,,,,,,,,
7,webpack/webpack,v1.0.0-rc1,2014-02-03,,,,1.0,4.0,13.0,85.0,1.0,,,,,,,,,,
8,webpack/webpack,v1.0.0-rc2,2014-02-05,,,,,,,,,,,,,,,,,,
9,webpack/webpack,v1.0.0-rc3,2014-02-05,,,,,,,,,,,,,,,,,,
10,webpack/webpack,v1.0.0-rc5,2014-02-11,,,,1.0,2.0,8.0,45.0,1.0,,,,,,,,,,
11,webpack/webpack,v1.0.0-rc4,2014-02-11,,,,2.0,5.0,4.0,8.0,2.0,,,,,,,,,,
12,webpack/webpack,v1.0.0-rc6,2014-02-12,,,,1.0,3.0,2.0,4.0,1.0,,,,,,,,,,
13,webpack/webpack,v1.0.0-rc7,2014-02-12,,,,,,,,,,,,,,,,,,
14,webpack/webpack,v1.0.0-rc8,2014-02-13,,,,1.0,4.0,1.0,6.0,1.0,,,,,,,,,,
15,webpack/webpack,v1.0.0-rc9,2014-02-13,,,,,,,,,,,,,,,,,,
16,webpack/webpack,v1.0.0-rc10,2014-02-14,,,,1.0,1.0,2.0,21.0,1.0,,,,,,,,,,
17,webpack/webpack,v1.0.0-rc11,2014-02-14,,,,,,,,,,,,,,,,,,
18,webpack/webpack,v1.0.0-rc12,2014-02-15,,,,2.0,1.0,3.0,10.0,2.0,,,,,,,,,,
19,webpack/webpack,v1.0.0,2014-02-19,,,,,,,,,,,,,,,,,,
20,webpack/webpack,v1.0.1,2014-02-24,,,,,,,,,,,,,,,,,,
21,webpack/webpack,v1.0.3,2014-02-27,,,,2.0,7.0,5.0,168.0,2.0,,,,,,,,,,
22,webpack/webpack,v1.0.4,2014-03-01,,,,,,,,,,,,,,,,,,
23,webpack/webpack,v1.0.5,2014-03-01,,,,,,,,,,,,,,,,,,
24,webpack/webpack,v1.1.0-beta1,2014-03-03,BUG,616.0,26868.0,1.0,6.0,1.0,2.0,1.0,,,,,,1.0,,1.0,2.0,-1.0
