,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,webpack/webpack,v1.0.0-beta3,2013-12-29,RELEASE,533,24672,,,,,,,,,,,,,,,
1,webpack/webpack,v1.0.0-beta4,2013-12-29,RELEASE,533,24707,,,,,,,,,,,,,,,
2,webpack/webpack,v1.0.0-beta5,2014-01-08,RELEASE,534,24780,,,,,,,,,,,,,,,
3,webpack/webpack,v1.0.0-beta6,2014-01-10,RELEASE,534,24780,,,,,,,,,,,,,,,
4,webpack/webpack,v1.0.0-beta7,2014-01-21,RELEASE,540,24840,,,,,,,,,,,,,,,
5,webpack/webpack,v1.0.0-beta8,2014-01-24,RELEASE,543,25142,,,,,,,,,,,,,,,
6,webpack/webpack,v1.0.0-beta9,2014-01-31,RELEASE,545,25381,,,,,,,,,,,,,,,
7,webpack/webpack,v1.0.0-rc1,2014-02-03,RELEASE,559,26005,,,,,,,,,,,,,,,
8,webpack/webpack,v1.0.0-rc2,2014-02-05,RELEASE,570,26336,,,,,,,,,,,,,,,
9,webpack/webpack,v1.0.0-rc3,2014-02-05,RELEASE,570,26337,,,,,,,,,,,,,,,
10,webpack/webpack,v1.0.0-rc5,2014-02-11,RELEASE,570,26368,,,,,,,,,,,,,,,
11,webpack/webpack,v1.0.0-rc4,2014-02-11,RELEASE,571,26373,,,,,,,,,,,,,,,
12,webpack/webpack,v1.0.0-rc6,2014-02-12,RELEASE,570,26368,,,,,,,,,,,,,,,
13,webpack/webpack,v1.0.0-rc7,2014-02-12,RELEASE,573,26390,,,,,,,,,,,,,,,
14,webpack/webpack,v1.0.0-rc8,2014-02-13,RELEASE,575,26559,,,,,,,,,,,,,,,
15,webpack/webpack,v1.0.0-rc9,2014-02-13,RELEASE,575,26565,,,,,,,,,,,,,,,
16,webpack/webpack,v1.0.0-rc11,2014-02-14,RELEASE,575,26570,,,,,,,,,,,,,,,
17,webpack/webpack,v1.0.0-rc10,2014-02-14,RELEASE,575,26570,,,,,,,,,,,,,,,
18,webpack/webpack,v1.0.0-rc12,2014-02-15,RELEASE,575,26578,,,,,,,,,,,,,,,
19,webpack/webpack,v1.0.0,2014-02-19,RELEASE,611,26696,,,,,,,,,,,,,,,
20,webpack/webpack,v1.0.1,2014-02-24,RELEASE,611,26713,,,,,,,,,,,,,,,
21,webpack/webpack,v1.0.3,2014-02-27,RELEASE,612,26759,,,,,,,,,,,,,,,
22,webpack/webpack,v1.0.4,2014-03-01,RELEASE,612,26762,,,,,,,,,,,,,,,
23,webpack/webpack,v1.0.5,2014-03-01,RELEASE,616,26847,,,,,,,,,,,,,,,
24,webpack/webpack,v1.1.0-beta1,2014-03-03,RELEASE,616,26868,,,,,,,,,,,,,,,
25,webpack/webpack,v1.1.0-beta2,2014-03-05,RELEASE,624,27197,,,,,,,,,,,,,,,
26,webpack/webpack,v1.1.0-beta3,2014-03-07,RELEASE,624,27195,,,,,,,,,,,,,,,
27,webpack/webpack,v1.1.0-beta4,2014-03-10,RELEASE,624,27196,,,,,,,,,,,,,,,
28,webpack/webpack,v1.1.0-beta5,2014-03-11,RELEASE,624,27248,,,,,,,,,,,,,,,
29,webpack/webpack,v1.1.0-beta6,2014-03-11,RELEASE,624,27249,,,,,,,,,,,,,,,
30,webpack/webpack,v1.1.0-beta7,2014-03-12,RELEASE,625,27283,,,,,,,,,,,,,,,
31,webpack/webpack,v1.1.0-beta8,2014-03-12,RELEASE,625,27292,,,,,,,,,,,,,,,
32,webpack/webpack,v1.1.0-beta9,2014-03-18,RELEASE,625,27289,,,,,,,,,,,,,,,
33,webpack/webpack,v1.1.0-beta10,2014-03-19,RELEASE,625,27296,,,,,,,,,,,,,,,
34,webpack/webpack,v1.1.0-beta11,2014-03-20,RELEASE,625,27305,,,,,,,,,,,,,,,
35,webpack/webpack,v1.1.0-beta12,2014-03-21,RELEASE,626,27328,,,,,,,,,,,,,,,
36,webpack/webpack,v1.1.0,2014-03-25,RELEASE,626,27328,,,,,,,,,,,,,,,
37,webpack/webpack,v1.1.1,2014-03-31,RELEASE,626,27332,,,,,,,,,,,,,,,
38,webpack/webpack,v1.1.2,2014-03-31,RELEASE,630,27394,,,,,,,,,,,,,,,
39,webpack/webpack,v1.1.3,2014-04-03,RELEASE,630,27406,,,,,,,,,,,,,,,
40,webpack/webpack,v1.1.4,2014-04-05,RELEASE,636,27697,,,,,,,,,,,,,,,
41,webpack/webpack,v1.1.5,2014-04-09,RELEASE,638,27738,,,,,,,,,,,,,,,
42,webpack/webpack,v1.1.6,2014-04-17,RELEASE,638,27742,,,,,,,,,,,,,,,
43,webpack/webpack,v1.1.7,2014-04-17,RELEASE,639,27774,,,,,,,,,,,,,,,
44,webpack/webpack,v1.1.8,2014-04-19,RELEASE,646,28032,,,,,,,,,,,,,,,
45,webpack/webpack,v1.1.9,2014-05-08,RELEASE,646,28055,,,,,,,,,,,,,,,
46,webpack/webpack,v1.1.10,2014-05-08,RELEASE,646,28055,,,,,,,,,,,,,,,
47,webpack/webpack,v1.1.11,2014-05-17,RELEASE,649,28108,,,,,,,,,,,,,,,
48,webpack/webpack,v1.2.0-beta1,2014-05-21,RELEASE,649,28108,,,,,,,,,,,,,,,
49,webpack/webpack,v1.2.0-beta2,2014-05-21,RELEASE,649,28109,,,,,,,,,,,,,,,
50,webpack/webpack,v1.2.0-beta3,2014-05-22,RELEASE,649,28109,,,,,,,,,,,,,,,
51,webpack/webpack,v1.2.0-beta4,2014-05-26,RELEASE,649,28121,,,,,,,,,,,,,,,
