Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
angular,Module_CC,BUG,0.8,0.79,179.81,217762.56,466.65,0.34,0.54,326
angular,Module_CC,DOCS,0.71,0.7,115.77,67474.89,259.76,0.36,0.54,318
angular,Module_CC,FEATURE,0.7,0.69,84.06,56121.89,236.9,0.45,0.71,262
angular,Module_CC,OTHER,0.55,0.53,219.32,334301.64,578.19,0.18,0.46,315
angular,Module_CC,REFACTOR,0.74,0.73,138.78,102306.6,319.85,0.43,0.61,295
angular,Module_CC,RELEASE,0.91,0.91,1.73,12.73,3.57,0.69,0.93,280
angular,Module_CC,SUPPORT,0.95,0.94,1.98,20.39,4.52,0.7,0.85,108
angular,Module_CC,TESTING,0.46,0.44,44.88,18706.3,136.77,0.47,0.66,279
angular,Module_CC,UPGRADE,0.84,0.83,11.76,788.0,28.07,0.53,0.65,194
angular,Module_EC,BUG,0.5,0.48,35.17,50520.53,224.77,0.41,0.63,326
angular,Module_EC,DOCS,0.94,0.94,6.47,300.84,17.34,0.42,0.5,318
angular,Module_EC,FEATURE,0.48,0.45,8.58,2171.38,46.6,0.56,0.62,262
angular,Module_EC,OTHER,0.71,0.7,38.24,13528.25,116.31,0.36,0.57,315
angular,Module_EC,REFACTOR,0.89,0.89,10.04,666.38,25.81,0.45,0.61,295
angular,Module_EC,RELEASE,1.0,1.0,0.03,0.01,0.12,0.85,1.0,280
angular,Module_EC,SUPPORT,1.0,1.0,0.0,0.0,0.01,1.0,1.0,108
angular,Module_EC,TESTING,0.74,0.73,2.22,60.37,7.77,0.44,0.5,279
angular,Module_EC,UPGRADE,0.04,-0.02,25.9,26441.35,162.61,0.38,0.62,194
node,Module_CC,BUG,0.96,0.96,102.59,41234.46,203.06,0.73,0.87,280
node,Module_CC,DOCS,0.86,0.85,12.45,758.93,27.55,0.76,0.83,231
node,Module_CC,FEATURE,0.9,0.89,1.84,13.25,3.64,0.76,0.86,147
node,Module_CC,OTHER,0.96,0.96,1211.92,4022467.65,2005.61,0.65,0.73,299
node,Module_CC,REFACTOR,0.94,0.94,27.59,2695.15,51.91,0.63,0.75,234
node,Module_CC,RELEASE,0.98,0.98,1.91,9.53,3.09,0.89,0.94,247
node,Module_CC,SUPPORT,0.99,0.99,7.02,162.85,12.76,0.79,0.87,249
node,Module_CC,TESTING,0.99,0.99,111.64,34573.35,185.94,0.78,0.83,275
