Project,Model,Amount_Invested,Amount_Returned,Investment_Gain,ROI,Annualized_ROI
angular,Module,273097.00000000006,13669.670000000002,-259427.33,-0.95,-0.632
node,Module,1853694.1400000001,152643.0,-1701051.14,-0.918,-0.566
neutron,Module,51940.25,88997.66,37057.41,0.713,0.197
vue,Module,6901.800000000001,810.25,-6091.55,-0.883,-0.511
home-assistant,Module,15094.220000000001,18259.45,3165.23,0.21,0.066
tensorflow,Module,207399.75,509910.17000000004,302510.42,1.459,0.35
gitlabhq,Module,100528.43999999997,59306.14000000001,-41222.3,-0.41,-0.161
orleans,Module,64885.44,308.81,-64576.63,-0.995,-0.829
roslyn,Module,287607.17000000004,3387302.8,3099695.63,10.778,1.275
ansible,Module,182127.43,1837185.01,1655057.58,9.087,1.161
cli,Module,147806.07,25410.97,-122395.1,-0.828,-0.444
nova,Module,137376.74000000002,278525.86,141149.12,1.027,0.266
angular.js,Module,27765.489999999998,55911.64,28146.15,1.014,0.263
lock,Module,4150.24,95179.02000000002,91028.78,21.933,1.841
kubernetes,Module,50181.1,121324.76000000001,71143.66,1.418,0.342
mesos,Module,115958.29,78936.09,-37022.2,-0.319,-0.12
Odin,Module,2342.51,1437.9199999999998,-904.59,-0.386,-0.15
nixpkgs,Module,861098.26,168672.87999999998,-692425.38,-0.804,-0.419
react,Module,35000.12,2848048.4400000004,2813048.32,80.373,3.333
brew,Module,8479.789999999999,4276.48,-4203.31,-0.496,-0.204
cinder,Module,82351.29,112903.79000000001,30552.5,0.371,0.111
elasticsearch,Module,2190115.5,37713979.84,35523864.34,16.22,1.582
linux,Module,3467.9399999999996,1893.3400000000001,-1574.6,-0.454,-0.183
cf-deployment,Module,3905.74,1203.9199999999998,-2701.82,-0.692,-0.325
office-js,Module,276.16999999999996,25.46,-250.71,-0.908,-0.549
