Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
linux,Module_CC,BUG,0.9,,0.9,11.24,488.46,22.1,0.66,0.66,0.88,0.88,547
linux,Module_EC,BUG,0.86,,0.86,5.58,117.7,10.85,0.6,0.54,0.82,0.83,547
linux,Module_CC,DOCS,0.02,,-0.04,6.38,385.6,19.64,0.32,0.36,0.55,0.57,212
linux,Module_EC,DOCS,0.36,,0.32,0.82,2.52,1.59,0.26,0.26,0.33,0.41,212
linux,Module_CC,REFACTOR,0.64,,0.57,2.21,12.91,3.59,0.3,0.31,0.65,0.58,78
linux,Module_EC,REFACTOR,0.65,,0.58,1.02,2.31,1.52,0.12,0.23,0.19,0.42,78
linux,Module_CC,TESTING,0.73,,0.72,3.13,50.37,7.1,0.34,0.35,0.59,0.59,232
linux,Module_EC,TESTING,0.77,,0.76,1.42,8.06,2.84,0.21,0.31,0.47,0.62,232
linux,Module_CC,FEATURE,0.59,,0.55,1.67,5.71,2.39,0.36,0.31,0.56,0.58,142
linux,Module_EC,FEATURE,0.61,,0.57,1.23,4.56,2.14,0.24,0.2,0.43,0.35,142
linux,Module_CC,UPGRADE,-0.24,,-0.61,2.29,19.24,4.39,0.29,0.23,0.64,0.53,53
linux,Module_EC,UPGRADE,0.45,,0.28,0.65,1.02,1.01,0.0,0.3,0.25,0.52,53
linux,Module_CC,RELEASE,-0.02,,-0.08,10.4,3665.6,60.54,0.22,0.14,0.38,0.26,220
linux,Module_EC,RELEASE,0.35,,0.31,0.73,3.63,1.9,0.29,0.14,0.42,0.31,220
linux,Module_CC,SUPPORT,0.88,,0.88,8.15,548.94,23.43,0.39,0.37,0.71,0.65,383
linux,Module_EC,SUPPORT,0.69,,0.68,6.44,345.29,18.58,0.24,0.31,0.53,0.51,383
linux,Module_CC,OTHER,0.2,,0.18,161.79,1185387.66,1088.76,0.62,0.52,0.85,0.79,559
linux,Module_EC,OTHER,0.03,,0.01,118.04,1149293.17,1072.05,0.61,0.48,0.86,0.76,559
angular,Module_CC,BUG,0.81,,0.8,175.79,203098.63,450.66,0.38,0.3,0.52,0.57,326
angular,Module_EC,BUG,0.5,,0.48,34.93,50519.33,224.77,0.37,0.18,0.63,0.39,326
angular,Module_CC,DOCS,0.64,,0.63,127.73,81497.71,285.48,0.35,0.25,0.55,0.42,318
angular,Module_EC,DOCS,0.94,,0.94,6.91,312.93,17.69,0.39,0.33,0.5,0.54,318
angular,Module_CC,REFACTOR,0.72,,0.71,143.95,110580.89,332.54,0.45,0.26,0.59,0.45,295
angular,Module_EC,REFACTOR,0.9,,0.9,9.9,588.37,24.26,0.48,0.23,0.64,0.49,295
angular,Module_CC,TESTING,0.46,,0.44,45.38,18758.7,136.96,0.43,0.23,0.67,0.46,279
angular,Module_EC,TESTING,0.67,,0.66,2.32,75.69,8.7,0.4,0.21,0.5,0.48,279
angular,Module_CC,FEATURE,0.69,,0.68,83.31,57532.06,239.86,0.44,0.34,0.67,0.56,262
angular,Module_EC,FEATURE,0.51,,0.49,8.26,2022.94,44.98,0.56,0.35,0.62,0.68,262
angular,Module_CC,UPGRADE,0.83,,0.82,12.05,851.04,29.17,0.51,0.37,0.63,0.54,194
angular,Module_EC,UPGRADE,0.04,,-0.02,25.97,26369.15,162.39,0.38,0.34,0.62,0.51,194
angular,Module_CC,RELEASE,0.92,,0.92,1.69,11.08,3.33,0.69,0.51,0.94,0.79,280
angular,Module_EC,RELEASE,1.0,,1.0,0.03,0.02,0.13,0.85,0.78,1.0,0.98,280
angular,Module_CC,SUPPORT,0.95,,0.94,1.99,21.04,4.59,0.7,0.55,0.85,0.69,108
angular,Module_EC,SUPPORT,1.0,,1.0,0.0,0.0,0.01,1.0,0.94,1.0,0.94,108
angular,Module_CC,OTHER,0.55,,0.53,222.81,338572.87,581.87,0.18,0.2,0.41,0.36,315
angular,Module_EC,OTHER,0.7,,0.69,38.94,13940.49,118.07,0.36,0.12,0.57,0.41,315
