Project,Model,Amount_Invested,Amount_Returned,Investment_Gain,ROI,Annualized_ROI
cli,Module,8827.82,7712.93,-1114.89,-0.126,-0.044
orleans,Module,7023.23,652.8,-6370.43,-0.907,-0.547
tensorflow,Module,1313.75,16588.93,15275.18,11.627,1.329
roslyn,Module,7725.36,54068.94,46343.58,5.999,0.913
neutron,Module,4571.0,140420.3,135849.3,29.72,2.132
vue,Module,24161.719999999998,34320.0,10158.28,0.42,0.124
moby,Module,2341.51,164.0,-2177.51,-0.93,-0.588
ansible,Module,95343.87,3011695.67,2916351.8,30.588,2.161
angular,Module,4125.56,5360.46,1234.9,0.299,0.091
node,Module,398121.57000000007,113352.59,-284768.98,-0.715,-0.342
angular.js,Module,11667.38,36379.72,24712.34,2.118,0.461
nova,Module,4881.5599999999995,190948.29,186066.73,38.116,2.395
home-assistant,Module,4272.1799999999985,199893.75,195621.57,45.79,2.603
mesos,Module,24352.55,13838.72,-10513.83,-0.432,-0.172
lock,Module,992.0,39252.0,38260.0,38.569,2.408
react,Module,2947.6200000000003,251927.68,248980.06,84.468,3.405
brew,Module,961.82,6026.0,5064.18,5.265,0.843
kubernetes,Module,23821.89999999999,5869.32,-17952.58,-0.754,-0.373
cinder,Module,940.0,79474.12,78534.12,83.547,3.389
gitlabhq,Module,1317.0,2950.94,1633.94,1.241,0.309
cf-deployment,Module,1237.97,3700.19,2462.22,1.989,0.44
elasticsearch,Module,1469404.27,96088008.60999998,94618604.34,64.392,3.029
office-js,Module,17969.73000000001,13304.0,-4665.73,-0.26,-0.095
socket.io,Module,986.79,26307.0,25320.21,25.659,1.987
d3,Module,1443.32,294.5,-1148.82,-0.796,-0.411
jekyll,Module,13225.369999999999,20210.0,6984.63,0.528,0.152
requests,Module,666.2700000000001,6994.93,6328.66,9.499,1.19
webpack,Module,1557.82,498.12,-1059.7,-0.68,-0.316
linux,Module,734.0,1192.6399999999999,458.64,0.625,0.176
json-server,Module,792.72,52923.0,52130.28,65.761,3.057
pm2,Module,1303.8799999999999,168.5,-1135.38,-0.871,-0.495
lodash,Module,4197.98,4196.67,-1.31,-0.0,0.0
devise,Module,1316.79,2963.6,1646.81,1.251,0.311
jest,Module,11735.420000000002,149917.02000000002,138181.6,11.775,1.338
video.js,Module,1991.13,344185.4,342194.27,171.859,4.571
webtorrent,Module,437.0,209.0,-228.0,-0.522,-0.218
superagent,Module,514.69,792.5,277.81,0.54,0.155
medium-editor,Module,3542.5499999999997,914.25,-2628.3,-0.742,-0.363
pandoc,Module,4682.02,306.95,-4375.07,-0.934,-0.596
swagger-ui,Module,1420.95,24322.589999999997,22901.64,16.117,1.577
mongoose,Module,2083.44,3805.5,1722.06,0.827,0.222
selenium,Module,10932.66,11442.220000000001,509.56,0.047,0.015
npm,Module,63733.25,51981.4,-11751.85,-0.184,-0.066
browser-sync,Module,3300.11,180.0,-3120.11,-0.945,-0.62
generator-jhipster,Module,3036.29,21379.53,18343.24,6.041,0.917
karma,Module,1128.67,8884.2,7755.53,6.871,0.989
stylus,Module,773.6800000000001,285.0,-488.68,-0.632,-0.283
jsdom,Module,4544.82,28497.0,23952.18,5.27,0.844
systemjs,Module,1701.8,3616.97,1915.17,1.125,0.286
nightwatch,Module,2897.54,646.0,-2251.54,-0.777,-0.394
ng-file-upload,Module,1077.0,0.0,-1077.0,-1.0,-1.0
dat,Module,868.6600000000001,152131.94999999998,151263.29,174.134,4.595
nixpkgs,Module,195909.91999999998,176186.18999999997,-19723.73,-0.101,-0.035
middleman,Module,646.2,727.0,80.8,0.125,0.04
fluentd,Module,716.0,710.0,-6.0,-0.008,-0.003
core-js,Module,13235.32,140.0,-13095.32,-0.989,-0.778
vega,Module,4870.33,6263.68,1393.35,0.286,0.087
mathjs,Module,2935.7000000000003,52.56,-2883.14,-0.982,-0.738
keystone,Module,65794.68000000047,884826.1799999913,819031.5,12.448,1.378
AutoMapper,Module,9590.349999999999,10259.44,669.09,0.07,0.023
fpm,Module,1124.1499999999999,3925.2799999999997,2801.13,2.492,0.517
pomelo,Module,2077.59,136.0,-1941.59,-0.935,-0.598
Odin,Module,12680.0,4960.0,-7720.0,-0.609,-0.269
natural,Module,553.4100000000001,481.0,-72.41,-0.131,-0.046
