Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_CC,BUG,0.31,0.28,502.39,3271004.04,1808.59,0.45,0.56,106,0,0.243
tensorflow,Line_EC,BUG,0.24,0.21,6956.8,1211490185.13,34806.47,0.76,0.76,106,0,0.271
tensorflow,Line_UC,BUG,0.49,0.47,4452.03,222617376.56,14920.37,0.34,0.52,106,0,0.137
tensorflow,Module_CC,BUG,0.71,0.7,23.12,6291.89,79.32,0.52,0.63,106,0,0.243
tensorflow,Module_EC,BUG,0.73,0.72,203.41,237348.72,487.18,0.74,0.74,106,0,0.271
tensorflow,Module_UC,BUG,0.63,0.62,161.78,333337.87,577.35,0.48,0.61,106,0,0.137
vue,Line_CC,BUG,0.93,0.93,122.35,216783.0,465.6,0.9,0.9,248,0,0.394
vue,Line_EC,BUG,1.0,1.0,45.68,258716.9,508.64,0.99,0.99,248,0,0.745
vue,Line_UC,BUG,0.57,0.56,257.65,1553958.97,1246.58,0.53,0.66,248,0,0.371
vue,Module_CC,BUG,0.95,0.95,8.07,1219.76,34.93,0.94,0.94,248,0,0.394
vue,Module_EC,BUG,1.0,1.0,4.76,2807.26,52.98,0.99,0.99,248,0,0.745
vue,Module_UC,BUG,0.28,0.27,10.14,3337.69,57.77,0.61,0.7,248,0,0.371
neutron,Line_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Line_EC,BUG,0.99,0.99,16568.96,3321706828.67,57634.25,0.86,0.86,203,0,0.209
neutron,Line_UC,BUG,0.6,0.59,447.0,2077741.54,1441.44,0.82,0.82,203,0,0.228
neutron,Module_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Module_EC,BUG,0.97,0.97,62.57,12228.19,110.58,0.93,0.93,203,0,0.209
neutron,Module_UC,BUG,0.88,0.88,22.65,3801.92,61.66,0.85,0.85,203,0,0.228
moby,Line_CC,BUG,0.93,0.93,11.92,2169.76,46.58,0.96,0.96,319,0,0.68
moby,Line_EC,BUG,0.33,0.32,9.49,4613.0,67.92,0.96,0.96,319,0,0.678
moby,Line_UC,BUG,0.9,0.9,890.56,4921432.78,2218.43,0.8,0.8,319,0,0.207
moby,Module_CC,BUG,0.67,0.67,0.57,6.9,2.63,0.97,0.97,319,0,0.68
moby,Module_EC,BUG,0.33,0.32,0.53,14.07,3.75,0.97,0.97,319,0,0.678
moby,Module_UC,BUG,0.95,0.95,34.59,8299.87,91.1,0.85,0.85,319,0,0.207
angular,Line_CC,BUG,0.86,0.86,5535.0,138319272.26,11760.92,0.39,0.52,411,0,0.159
angular,Line_EC,BUG,0.28,0.27,2873.55,201318607.33,14188.68,0.66,0.72,411,0,0.446
angular,Line_UC,BUG,0.93,0.93,2645.28,100577988.24,10028.86,0.44,0.57,411,0,0.235
angular,Module_CC,BUG,0.75,0.75,256.57,456441.36,675.6,0.41,0.6,411,0,0.159
angular,Module_EC,BUG,0.53,0.53,128.6,593100.9,770.13,0.71,0.77,411,0,0.446
angular,Module_UC,BUG,0.92,0.92,88.82,134912.49,367.3,0.51,0.65,411,0,0.235
home-assistant,Line_CC,BUG,0.55,0.55,79.87,103032.33,320.99,0.86,0.86,560,0,0.367
home-assistant,Line_EC,BUG,0.6,0.6,2266.3,129256453.18,11369.1,0.96,0.96,560,0,0.63
home-assistant,Line_UC,BUG,0.15,0.14,210.51,8167824.82,2857.94,0.68,0.75,560,0,0.453
home-assistant,Module_CC,BUG,0.45,0.45,4.03,586.12,24.21,0.92,0.92,560,0,0.367
home-assistant,Module_EC,BUG,0.45,0.45,72.47,278866.11,528.08,0.98,0.98,560,0,0.63
home-assistant,Module_UC,BUG,0.75,0.75,5.47,1113.83,33.37,0.71,0.81,560,0,0.453
node,Line_CC,BUG,0.91,0.91,4946.54,158507366.35,12589.97,0.9,0.9,596,0,0.398
node,Line_EC,BUG,0.94,0.94,1043.25,14098065.36,3754.74,0.96,0.96,596,0,0.513
node,Line_UC,BUG,0.92,0.92,1759.97,19837949.94,4453.98,0.42,0.58,596,0,0.105
node,Module_CC,BUG,0.99,0.99,121.3,69017.46,262.71,0.93,0.93,596,0,0.398
node,Module_EC,BUG,0.97,0.97,23.55,5770.56,75.96,0.96,0.96,596,0,0.513
node,Module_UC,BUG,0.91,0.91,132.84,97932.8,312.94,0.44,0.63,596,0,0.105
gitlabhq,Line_CC,BUG,0.64,0.64,401.53,4086614.83,2021.54,0.8,0.8,1154,0,0.346
gitlabhq,Line_EC,BUG,0.87,0.87,444.47,2125274.04,1457.83,0.87,0.87,1154,0,0.365
gitlabhq,Line_UC,BUG,0.57,0.57,3218.97,293903279.52,17143.61,0.53,0.66,1154,0,0.273
gitlabhq,Module_CC,BUG,0.86,0.86,12.37,1321.03,36.35,0.84,0.84,1154,0,0.346
gitlabhq,Module_EC,BUG,0.98,0.98,14.53,1278.87,35.76,0.92,0.92,1154,0,0.365
gitlabhq,Module_UC,BUG,0.93,0.93,101.97,395289.81,628.72,0.62,0.79,1154,0,0.273
tensorflow,Line_CC,DOCS,0.38,0.36,262.95,582748.11,763.38,0.67,0.73,106,0,0.476
tensorflow,Line_EC,DOCS,0.28,0.25,5850.87,616113786.43,24821.64,0.79,0.79,106,0,0.476
tensorflow,Line_UC,DOCS,0.68,0.67,1925.68,33766004.63,5810.85,0.57,0.64,106,0,0.358
tensorflow,Module_CC,DOCS,0.77,0.76,5.78,181.55,13.47,0.75,0.77,106,0,0.476
tensorflow,Module_EC,DOCS,0.02,-0.02,348.68,3943252.78,1985.76,0.87,0.87,106,0,0.476
tensorflow,Module_UC,DOCS,0.41,0.39,28.9,8020.6,89.56,0.59,0.68,106,0,0.358
neutron,Line_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Line_EC,DOCS,0.85,0.85,405.26,915658.75,956.9,0.88,0.88,203,0,0.459
neutron,Line_UC,DOCS,0.05,0.03,234.02,8123383.05,2850.15,0.94,0.94,203,0,0.603
neutron,Module_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Module_EC,DOCS,0.84,0.84,15.4,2307.84,48.04,0.93,0.93,203,0,0.459
neutron,Module_UC,DOCS,0.8,0.8,2.74,181.69,13.48,0.95,0.95,203,0,0.603
vue,Line_CC,DOCS,0.88,0.88,13.12,4474.43,66.89,0.98,0.98,248,0,0.718
vue,Line_EC,DOCS,1.0,1.0,0.95,224.58,14.99,1.0,1.0,248,0,0.748
vue,Line_UC,DOCS,0.25,0.24,0.37,7.17,2.68,0.98,0.98,248,0,0.712
vue,Module_CC,DOCS,0.93,0.93,0.22,1.26,1.12,0.98,0.98,248,0,0.718
vue,Module_EC,DOCS,1.0,1.0,0.24,14.04,3.75,1.0,1.0,248,0,0.748
vue,Module_UC,DOCS,0.85,0.85,0.03,0.03,0.19,0.99,0.99,248,0,0.712
moby,Line_CC,DOCS,1.0,1.0,1.01,107.67,10.38,0.99,0.99,319,0,0.744
moby,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Line_UC,DOCS,0.77,0.77,3361.79,170488795.78,13057.14,0.79,0.79,319,0,0.38
moby,Module_CC,DOCS,1.0,1.0,0.02,0.04,0.19,0.99,0.99,319,0,0.744
moby,Module_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Module_UC,DOCS,0.88,0.88,34.99,8640.08,92.95,0.82,0.82,319,0,0.38
angular,Line_CC,DOCS,0.51,0.51,7571.76,569074638.16,23855.29,0.34,0.45,411,0,0.174
angular,Line_EC,DOCS,0.78,0.78,875.62,11061126.39,3325.83,0.88,0.88,411,0,0.513
angular,Line_UC,DOCS,0.87,0.87,962.83,7596265.45,2756.13,0.82,0.82,411,0,0.302
angular,Module_CC,DOCS,0.6,0.6,130.59,194991.96,441.58,0.45,0.56,411,0,0.174
angular,Module_EC,DOCS,0.99,0.99,13.43,3426.74,58.54,0.96,0.96,411,0,0.513
angular,Module_UC,DOCS,0.89,0.89,30.2,10044.99,100.22,0.87,0.87,411,0,0.302
home-assistant,Line_CC,DOCS,0.32,0.32,32.91,140596.41,374.96,0.98,0.98,560,0,0.714
home-assistant,Line_EC,DOCS,0.45,0.45,223.87,5771786.56,2402.45,0.99,0.99,560,0,0.728
home-assistant,Line_UC,DOCS,0.55,0.55,24.17,28079.51,167.57,0.94,0.95,560,0,0.704
home-assistant,Module_CC,DOCS,0.49,0.49,2.45,1365.29,36.95,0.99,0.99,560,0,0.714
home-assistant,Module_EC,DOCS,0.09,0.08,21.01,61055.86,247.09,0.99,0.99,560,0,0.728
home-assistant,Module_UC,DOCS,0.12,0.11,3.47,1619.51,40.24,0.94,0.94,560,0,0.704
node,Line_CC,DOCS,0.82,0.82,1769.02,57965342.92,7613.5,0.85,0.85,596,0,0.46
node,Line_EC,DOCS,0.88,0.88,716.26,11027272.95,3320.73,0.95,0.95,596,0,0.568
node,Line_UC,DOCS,0.81,0.81,855.75,13916671.74,3730.51,0.84,0.84,596,0,0.266
