Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
moby,Line,BUG,0.85,0.85,1396.98,6838088.77,2614.97,0.1,0.2,319,0,0.476
moby,Module,BUG,0.93,0.93,55.07,15111.19,122.93,0.13,0.28,319,0,0.476
vue,Line,BUG,0.99,0.99,292.43,414801.73,644.05,0.15,0.29,248,0,0.452
vue,Module,BUG,1.0,1.0,16.47,2508.97,50.09,0.25,0.46,248,0,0.452
angular,Line,BUG,0.87,0.87,11282.69,425083069.16,20617.54,0.11,0.29,411,0,0.253
angular,Module,BUG,0.83,0.83,544.31,1007797.89,1003.89,0.14,0.28,411,0,0.253
ansible,Line,BUG,0.99,0.99,33953.83,7002480270.7,83680.82,0.29,0.37,303,0,0.219
ansible,Module,BUG,0.98,0.98,2558.16,28495626.29,5338.13,0.22,0.32,303,0,0.219
roslyn,Line,BUG,0.98,0.98,25071.83,2698663609.9,51948.66,0.15,0.26,102,0,0.352
roslyn,Module,BUG,0.99,0.99,754.69,4460889.77,2112.08,0.17,0.24,102,0,0.352
neutron,Line,BUG,0.56,0.55,37230.85,4712030402.09,68644.23,0.08,0.12,203,0,0.352
neutron,Module,BUG,0.95,0.95,91.55,18721.49,136.83,0.33,0.6,203,0,0.352
gitlabhq,Line,BUG,0.54,0.54,8472.01,432497537.48,20796.58,0.08,0.17,1154,0,0.3
gitlabhq,Module,BUG,0.77,0.77,131.29,179253.09,423.38,0.19,0.37,1154,0,0.3
home-assistant,Line,BUG,0.87,0.87,4538.7,145885597.52,12078.31,0.03,0.06,560,0,0.441
home-assistant,Module,BUG,0.96,0.96,85.13,268382.59,518.06,0.14,0.25,560,0,0.441
tensorflow,Line,BUG,0.97,0.97,21660.99,3467546897.04,58885.88,0.15,0.23,106,0,0.204
tensorflow,Module,BUG,0.97,0.97,326.21,411363.67,641.38,0.19,0.33,106,0,0.204
cli,Line,BUG,1.0,1.0,2974.94,200989375.2,14177.07,0.15,0.28,109,0,0.401
cli,Module,BUG,0.84,0.83,28.85,2180.54,46.7,0.18,0.36,109,0,0.401
orleans,Line,BUG,0.98,0.98,1004.3,5500835.99,2345.39,0.19,0.32,114,0,0.353
orleans,Module,BUG,0.97,0.97,80.81,33907.8,184.14,0.18,0.3,114,0,0.353
node,Line,BUG,0.93,0.93,9734.43,217578100.31,14750.53,0.16,0.26,596,0,0.307
node,Module,BUG,0.98,0.98,205.73,67362.17,259.54,0.27,0.38,596,0,0.307
vue,Line,DOCS,1.0,1.0,5.25,694.69,26.36,0.2,0.21,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.31,11.59,3.4,0.95,0.97,248,0,0.659
moby,Line,DOCS,0.56,0.55,6072.06,161198688.89,12696.4,0.02,0.03,319,0,0.555
moby,Module,DOCS,0.86,0.86,49.16,12750.09,112.92,0.07,0.13,319,0,0.555
roslyn,Line,DOCS,1.0,1.0,1475.51,38960172.9,6241.81,0.08,0.13,102,0,0.515
roslyn,Module,DOCS,0.99,0.99,34.21,11297.98,106.29,0.09,0.12,102,0,0.515
gitlabhq,Line,DOCS,0.83,0.83,1960.71,63654249.26,7978.36,0.11,0.2,1154,0,0.431
gitlabhq,Module,DOCS,0.9,0.9,29.85,8822.96,93.93,0.16,0.27,1154,0,0.431
angular,Line,DOCS,0.74,0.74,10554.82,399779396.08,19994.48,0.11,0.23,411,0,0.299
angular,Module,DOCS,0.77,0.77,212.21,206502.38,454.43,0.17,0.26,411,0,0.299
