Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
neutron,Line,BUG,1.0,1.0,1809.37,6384818.12,2526.82,0.39,0.66,67,136,0.331
neutron,Module,BUG,1.0,1.0,93.45,33724.31,183.64,0.59,0.78,67,136,0.331
tensorflow,Line,BUG,1.0,1.0,2445.54,31079446.22,5574.89,0.1,0.24,41,65,0.253
tensorflow,Module,BUG,1.0,1.0,183.95,219536.83,468.55,0.17,0.24,41,65,0.253
vue,Line,BUG,1.0,1.0,528.96,7069175.44,2658.79,0.28,0.44,156,92,0.42
vue,Module,BUG,1.0,1.0,29.48,25195.4,158.73,0.51,0.69,156,92,0.42
angular,Line,BUG,1.0,1.0,10748.25,678162750.59,26041.56,0.24,0.38,157,254,0.314
angular,Module,BUG,1.0,1.0,511.6,1032279.1,1016.01,0.28,0.51,157,254,0.314
moby,Line,BUG,1.0,1.0,778.25,3852639.72,1962.81,0.14,0.27,113,206,0.523
moby,Module,BUG,1.0,1.0,16.67,1671.49,40.88,0.29,0.57,113,206,0.523
home-assistant,Line,BUG,1.0,1.0,5079.26,452949210.72,21282.6,0.14,0.28,345,215,0.433
home-assistant,Module,BUG,1.0,1.0,111.31,400072.04,632.51,0.28,0.47,345,215,0.433
gitlabhq,Line,BUG,1.0,1.0,3036.8,240399263.58,15504.81,0.29,0.46,709,445,0.305
gitlabhq,Module,BUG,1.0,1.0,37.84,42477.61,206.1,0.51,0.71,709,445,0.305
node,Line,BUG,1.0,1.0,6793.06,324969076.76,18026.9,0.31,0.5,564,32,0.301
node,Module,BUG,1.0,1.0,162.88,132513.91,364.02,0.49,0.75,564,32,0.301
neutron,Line,DOCS,1.0,1.0,987.99,3535446.34,1880.28,0.39,0.39,67,136,0.495
neutron,Module,DOCS,1.0,1.0,17.82,3466.96,58.88,0.55,0.63,67,136,0.495
vue,Line,DOCS,1.0,1.0,8.08,1750.03,41.83,0.21,0.21,156,92,0.659
vue,Module,DOCS,1.0,1.0,1.88,106.44,10.32,0.5,0.5,156,92,0.659
tensorflow,Line,DOCS,1.0,1.0,1608.02,12197540.61,3492.5,0.0,0.1,41,65,0.483
tensorflow,Module,DOCS,1.0,1.0,25.49,2785.98,52.78,0.15,0.15,41,65,0.483
angular,Line,DOCS,1.0,1.0,6608.29,177383263.37,13318.53,0.26,0.45,157,254,0.326
angular,Module,DOCS,1.0,1.0,203.31,176347.03,419.94,0.27,0.51,157,254,0.326
moby,Line,DOCS,1.0,1.0,3633.17,184279519.08,13574.96,0.1,0.23,113,206,0.561
moby,Module,DOCS,1.0,1.0,21.73,5322.17,72.95,0.1,0.22,113,206,0.561
home-assistant,Line,DOCS,1.0,1.0,552.77,21177632.7,4601.92,0.1,0.22,345,215,0.647
home-assistant,Module,DOCS,1.0,1.0,45.32,212275.87,460.73,0.25,0.4,345,215,0.647
gitlabhq,Line,DOCS,1.0,1.0,1618.6,121331117.61,11015.04,0.39,0.54,709,445,0.459
gitlabhq,Module,DOCS,1.0,1.0,19.88,4453.85,66.74,0.42,0.59,709,445,0.459
node,Line,DOCS,1.0,1.0,2723.17,85775364.64,9261.5,0.34,0.46,564,32,0.384
node,Module,DOCS,1.0,1.0,14.81,1665.6,40.81,0.54,0.67,564,32,0.384
vue,Line,REFACTOR,1.0,1.0,121.42,284667.71,533.54,0.05,0.23,156,92,0.616
vue,Module,REFACTOR,1.0,1.0,3.76,186.04,13.64,0.28,0.33,156,92,0.616
neutron,Line,REFACTOR,1.0,1.0,641.52,2308492.45,1519.37,0.42,0.42,67,136,0.533
neutron,Module,REFACTOR,1.0,1.0,9.13,487.01,22.07,0.55,0.64,67,136,0.533
tensorflow,Line,REFACTOR,1.0,1.0,259.1,622247.63,788.83,0.29,0.29,41,65,0.632
tensorflow,Module,REFACTOR,1.0,1.0,9.68,1167.68,34.17,0.0,0.0,41,65,0.632
moby,Line,REFACTOR,1.0,1.0,139.88,192000.09,438.18,0.18,0.36,113,206,0.614
moby,Module,REFACTOR,1.0,1.0,2.15,31.74,5.63,0.18,0.36,113,206,0.614
angular,Line,REFACTOR,1.0,1.0,2468.48,73932330.08,8598.39,0.22,0.4,157,254,0.403
angular,Module,REFACTOR,1.0,1.0,163.63,371525.44,609.53,0.2,0.27,157,254,0.403
home-assistant,Line,REFACTOR,1.0,1.0,463.45,28944042.69,5379.97,0.17,0.32,345,215,0.646
home-assistant,Module,REFACTOR,1.0,1.0,2.88,465.09,21.57,0.06,0.28,345,215,0.646
gitlabhq,Line,REFACTOR,1.0,1.0,502.2,3043360.18,1744.52,0.33,0.45,709,445,0.548
gitlabhq,Module,REFACTOR,1.0,1.0,10.8,1121.8,33.49,0.37,0.56,709,445,0.548
node,Line,REFACTOR,1.0,1.0,4591.16,234841268.73,15324.53,0.43,0.52,564,32,0.418
node,Module,REFACTOR,1.0,1.0,33.21,5202.07,72.13,0.5,0.67,564,32,0.418
tensorflow,Line,TESTING,1.0,1.0,2734.07,112014037.73,10583.67,0.08,0.27,41,65,0.44
tensorflow,Module,TESTING,1.0,1.0,86.1,98950.1,314.56,0.19,0.27,41,65,0.44
neutron,Line,TESTING,1.0,1.0,1739.64,15159881.34,3893.57,0.5,0.6,67,136,0.346
neutron,Module,TESTING,1.0,1.0,60.24,11687.64,108.11,0.4,0.72,67,136,0.346
vue,Line,TESTING,1.0,1.0,607.93,11288434.06,3359.83,0.08,0.21,156,92,0.557
vue,Module,TESTING,1.0,1.0,20.09,11468.34,107.09,0.26,0.32,156,92,0.557
moby,Line,TESTING,1.0,1.0,536.99,2413495.4,1553.54,0.18,0.35,113,206,0.557
moby,Module,TESTING,1.0,1.0,11.37,1645.96,40.57,0.3,0.5,113,206,0.557
angular,Line,TESTING,1.0,1.0,7984.36,294944595.78,17173.95,0.24,0.32,157,254,0.417
angular,Module,TESTING,1.0,1.0,54.01,17237.34,131.29,0.35,0.55,157,254,0.417
home-assistant,Line,TESTING,1.0,1.0,4864.13,1556900575.97,39457.58,0.01,0.06,345,215,0.602
home-assistant,Module,TESTING,1.0,1.0,46.32,52834.51,229.86,0.18,0.32,345,215,0.602
gitlabhq,Line,TESTING,1.0,1.0,16568.36,10258407603.57,101283.8,0.36,0.44,709,445,0.483
gitlabhq,Module,TESTING,1.0,1.0,321.3,3876082.98,1968.78,0.44,0.53,709,445,0.483
node,Line,TESTING,1.0,1.0,9475.73,411271040.34,20279.82,0.3,0.46,564,32,0.326
node,Module,TESTING,1.0,1.0,394.54,743754.99,862.41,0.41,0.62,564,32,0.326
tensorflow,Line,FEATURE,1.0,1.0,763.29,11602476.9,3406.24,0.0,0.17,41,65,0.632
tensorflow,Module,FEATURE,1.0,1.0,5.8,613.37,24.77,0.0,0.17,41,65,0.632
neutron,Line,FEATURE,1.0,1.0,49.97,63905.67,252.8,0.54,0.62,67,136,0.632
neutron,Module,FEATURE,1.0,1.0,1.22,25.04,5.0,0.46,0.69,67,136,0.632
