Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
roslyn,Line,BUG,1.0,1.0,20012.16,2249693651.43,47430.94,0.6,0.71,102,0,0.352
roslyn,Module,BUG,1.0,1.0,534.28,2075539.66,1440.67,0.57,0.71,102,0,0.352
cli,Line,BUG,1.0,1.0,5091.06,247696561.03,15738.38,0.16,0.31,109,0,0.401
cli,Module,BUG,1.0,1.0,24.32,1889.18,43.46,0.38,0.52,109,0,0.401
tensorflow,Line,BUG,1.0,1.0,16322.86,2357026969.54,48549.22,0.21,0.32,106,0,0.204
tensorflow,Module,BUG,1.0,1.0,265.87,313180.57,559.63,0.31,0.49,106,0,0.204
orleans,Line,BUG,1.0,1.0,835.36,5473684.32,2339.59,0.41,0.56,114,0,0.353
orleans,Module,BUG,1.0,1.0,66.03,30274.27,174.0,0.44,0.57,114,0,0.353
neutron,Line,BUG,1.0,1.0,23584.49,3248931357.63,56999.4,0.35,0.5,203,0,0.352
neutron,Module,BUG,1.0,1.0,75.06,17252.42,131.35,0.53,0.79,203,0,0.352
vue,Line,BUG,1.0,1.0,250.54,384665.41,620.21,0.39,0.55,248,0,0.452
vue,Module,BUG,1.0,1.0,11.05,1776.18,42.14,0.57,0.79,248,0,0.452
moby,Line,BUG,1.0,1.0,1154.51,6244006.89,2498.8,0.35,0.51,319,0,0.476
moby,Module,BUG,1.0,1.0,44.78,15306.31,123.72,0.49,0.67,319,0,0.476
ansible,Line,BUG,1.0,1.0,22400.85,3690868326.79,60752.52,0.49,0.58,303,0,0.219
ansible,Module,BUG,1.0,1.0,1304.75,15000709.23,3873.07,0.56,0.73,303,0,0.219
angular,Line,BUG,1.0,1.0,8109.5,283465808.02,16836.44,0.24,0.45,411,0,0.253
angular,Module,BUG,1.0,1.0,418.01,774454.56,880.03,0.3,0.49,411,0,0.253
home-assistant,Line,BUG,1.0,1.0,2343.96,103914820.24,10193.86,0.31,0.45,560,0,0.441
home-assistant,Module,BUG,1.0,1.0,106.73,356613.89,597.17,0.46,0.62,560,0,0.441
node,Line,BUG,1.0,1.0,5469.32,175152969.82,13234.54,0.37,0.56,596,0,0.307
node,Module,BUG,1.0,1.0,106.54,43594.52,208.79,0.56,0.77,596,0,0.307
roslyn,Line,DOCS,1.0,1.0,1162.44,24598382.27,4959.68,0.7,0.74,102,0,0.515
roslyn,Module,DOCS,1.0,1.0,22.03,7188.62,84.79,0.7,0.76,102,0,0.515
gitlabhq,Line,BUG,1.0,1.0,4976.41,318233579.72,17839.1,0.41,0.53,1154,0,0.3
gitlabhq,Module,BUG,1.0,1.0,76.63,156390.96,395.46,0.6,0.77,1154,0,0.3
cli,Line,DOCS,1.0,1.0,38.09,9650.25,98.24,0.79,0.83,109,0,0.615
cli,Module,DOCS,1.0,1.0,2.27,45.24,6.73,0.8,0.83,109,0,0.615
orleans,Line,DOCS,1.0,1.0,26.73,5923.18,76.96,0.81,0.85,114,0,0.615
orleans,Module,DOCS,1.0,1.0,1.19,14.2,3.77,0.85,0.89,114,0,0.615
tensorflow,Line,DOCS,1.0,1.0,9761.81,1241411260.07,35233.67,0.57,0.65,106,0,0.397
tensorflow,Module,DOCS,1.0,1.0,269.9,2026527.77,1423.56,0.59,0.72,106,0,0.397
vue,Line,DOCS,1.0,1.0,4.96,613.56,24.77,0.95,0.95,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.27,11.6,3.41,0.97,0.98,248,0,0.659
neutron,Line,DOCS,1.0,1.0,807.58,11452140.28,3384.1,0.63,0.72,203,0,0.539
neutron,Module,DOCS,1.0,1.0,12.8,1264.94,35.57,0.74,0.8,203,0,0.539
moby,Line,DOCS,1.0,1.0,4822.29,166995251.2,12922.66,0.54,0.57,319,0,0.555
moby,Module,DOCS,1.0,1.0,40.21,11523.49,107.35,0.56,0.62,319,0,0.555
ansible,Line,DOCS,1.0,1.0,32509.17,27318840807.34,165284.12,0.68,0.75,303,0,0.362
ansible,Module,DOCS,1.0,1.0,1129.39,32110603.47,5666.62,0.65,0.74,303,0,0.362
home-assistant,Line,DOCS,1.0,1.0,276.09,7153155.51,2674.54,0.89,0.9,560,0,0.65
home-assistant,Module,DOCS,1.0,1.0,29.43,74109.46,272.23,0.9,0.91,560,0,0.65
angular,Line,DOCS,1.0,1.0,7631.96,342695951.86,18512.05,0.25,0.37,411,0,0.299
angular,Module,DOCS,1.0,1.0,182.95,205167.81,452.95,0.27,0.46,411,0,0.299
node,Line,DOCS,1.0,1.0,4364.33,113984781.84,10676.37,0.4,0.48,596,0,0.391
node,Module,DOCS,1.0,1.0,23.0,2828.76,53.19,0.52,0.69,596,0,0.391
roslyn,Line,REFACTOR,1.0,1.0,41312.92,21158009197.36,145457.93,0.65,0.72,102,0,0.484
roslyn,Module,REFACTOR,1.0,1.0,1192.03,42010217.55,6481.53,0.62,0.68,102,0,0.484
orleans,Line,REFACTOR,1.0,1.0,338.53,865004.69,930.06,0.82,0.84,114,0,0.614
orleans,Module,REFACTOR,1.0,1.0,5.24,170.35,13.05,0.81,0.88,114,0,0.614
cli,Line,REFACTOR,1.0,1.0,4049.13,215661070.8,14685.4,0.6,0.69,109,0,0.511
cli,Module,REFACTOR,1.0,1.0,53.41,17646.61,132.84,0.47,0.61,109,0,0.511
tensorflow,Line,REFACTOR,1.0,1.0,3218.86,167601144.45,12946.09,0.77,0.86,106,0,0.502
tensorflow,Module,REFACTOR,1.0,1.0,76.12,60217.27,245.39,0.69,0.75,106,0,0.502
vue,Line,REFACTOR,1.0,1.0,89.06,68618.79,261.95,0.78,0.81,248,0,0.61
vue,Module,REFACTOR,1.0,1.0,1.73,18.26,4.27,0.82,0.86,248,0,0.61
neutron,Line,REFACTOR,1.0,1.0,535.42,1293411.22,1137.28,0.66,0.82,203,0,0.53
neutron,Module,REFACTOR,1.0,1.0,11.35,727.79,26.98,0.7,0.84,203,0,0.53
moby,Line,REFACTOR,1.0,1.0,353.59,1380850.58,1175.1,0.76,0.82,319,0,0.596
moby,Module,REFACTOR,1.0,1.0,4.9,225.93,15.03,0.79,0.83,319,0,0.596
ansible,Line,REFACTOR,1.0,1.0,14418.23,3681210383.21,60672.98,0.81,0.85,303,0,0.469
ansible,Module,REFACTOR,1.0,1.0,49.1,36022.65,189.8,0.85,0.88,303,0,0.469
home-assistant,Line,REFACTOR,1.0,1.0,1668.57,141649131.12,11901.64,0.88,0.89,560,0,0.644
home-assistant,Module,REFACTOR,1.0,1.0,9.96,5177.31,71.95,0.88,0.91,560,0,0.644
gitlabhq,Line,DOCS,1.0,1.0,1410.09,58743419.16,7664.43,0.57,0.68,1154,0,0.431
gitlabhq,Module,DOCS,1.0,1.0,20.73,6209.71,78.8,0.62,0.75,1154,0,0.431
roslyn,Line,TESTING,1.0,1.0,61494.99,57100309572.99,238956.71,0.62,0.69,102,0,0.388
roslyn,Module,TESTING,1.0,1.0,587.13,2851568.84,1688.66,0.67,0.75,102,0,0.388
orleans,Line,TESTING,1.0,1.0,2209.5,41563477.02,6446.97,0.48,0.55,114,0,0.424
orleans,Module,TESTING,1.0,1.0,130.13,100546.59,317.09,0.46,0.54,114,0,0.424
cli,Line,TESTING,1.0,1.0,34874.95,25322158858.0,159129.38,0.23,0.31,109,0,0.405
cli,Module,TESTING,1.0,1.0,158.66,383540.18,619.31,0.29,0.47,109,0,0.405
tensorflow,Line,TESTING,1.0,1.0,10701.78,641591936.23,25329.67,0.33,0.45,106,0,0.335
tensorflow,Module,TESTING,1.0,1.0,124.96,75020.67,273.9,0.46,0.61,106,0,0.335
angular,Line,REFACTOR,1.0,1.0,6140.92,170106596.71,13042.49,0.27,0.42,411,0,0.339
angular,Module,REFACTOR,1.0,1.0,226.84,278235.73,527.48,0.35,0.5,411,0,0.339
node,Line,REFACTOR,1.0,1.0,4254.55,176074367.17,13269.3,0.62,0.69,596,0,0.424
node,Module,REFACTOR,1.0,1.0,33.13,6522.55,80.76,0.66,0.76,596,0,0.424
vue,Line,TESTING,1.0,1.0,115.27,173726.65,416.81,0.67,0.74,248,0,0.558
vue,Module,TESTING,1.0,1.0,3.43,113.3,10.64,0.69,0.77,248,0,0.558
neutron,Line,TESTING,1.0,1.0,3532.69,93456032.95,9667.27,0.46,0.6,203,0,0.386
neutron,Module,TESTING,1.0,1.0,79.54,33648.04,183.43,0.47,0.68,203,0,0.386
moby,Line,TESTING,1.0,1.0,1443.74,22753038.02,4770.01,0.52,0.64,319,0,0.514
moby,Module,TESTING,1.0,1.0,27.7,6130.04,78.29,0.52,0.66,319,0,0.514
ansible,Line,TESTING,1.0,1.0,24753.73,6784920554.17,82370.63,0.6,0.68,303,0,0.31
ansible,Module,TESTING,1.0,1.0,1446.4,19515521.71,4417.64,0.61,0.71,303,0,0.31
home-assistant,Line,TESTING,1.0,1.0,6713.7,1938845083.81,44032.32,0.78,0.79,560,0,0.601
home-assistant,Module,TESTING,1.0,1.0,37.55,28755.36,169.57,0.81,0.84,560,0,0.601
