Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,BUG,0.44,0.42,11603.97,1456190098.92,38160.06,0.2,0.34,106,0,0.204
tensorflow,Module,BUG,0.76,0.75,345.96,657345.01,810.77,0.18,0.34,106,0,0.204
vue,Line,BUG,0.95,0.95,337.47,1490989.94,1221.06,0.36,0.54,248,0,0.452
vue,Module,BUG,0.93,0.93,18.79,5990.15,77.4,0.53,0.75,248,0,0.452
orleans,Line,BUG,0.77,0.76,898.29,5119704.04,2262.68,0.32,0.51,114,0,0.353
orleans,Module,BUG,0.77,0.76,63.05,27827.33,166.82,0.34,0.51,114,0,0.353
angular,Line,BUG,0.82,0.82,9165.23,356523894.63,18881.84,0.23,0.42,411,0,0.253
angular,Module,BUG,0.79,0.79,395.13,727089.59,852.7,0.29,0.53,411,0,0.253
moby,Line,BUG,0.78,0.78,1120.74,6161141.34,2482.16,0.39,0.52,319,0,0.476
moby,Module,BUG,0.88,0.88,42.01,12506.53,111.83,0.48,0.69,319,0,0.476
neutron,Line,BUG,0.24,0.23,29685.13,4456189200.75,66754.69,0.28,0.42,203,0,0.352
neutron,Module,BUG,0.93,0.93,78.16,18452.24,135.84,0.45,0.75,203,0,0.352
roslyn,Line,BUG,0.87,0.87,25125.87,4011027741.31,63332.68,0.51,0.62,102,0,0.352
roslyn,Module,BUG,0.84,0.84,651.38,3996554.84,1999.14,0.52,0.65,102,0,0.352
cli,Line,BUG,0.2,0.18,4117.82,230043098.4,15167.17,0.2,0.35,109,0,0.401
cli,Module,BUG,0.53,0.52,26.21,2299.24,47.95,0.26,0.5,109,0,0.401
gitlabhq,Line,BUG,0.61,0.61,5820.24,442513044.85,21035.99,0.32,0.5,1154,0,0.3
gitlabhq,Module,BUG,0.79,0.79,81.97,162732.87,403.4,0.51,0.72,1154,0,0.3
node,Line,BUG,0.93,0.93,5069.4,163007402.07,12767.44,0.38,0.6,596,0,0.307
node,Module,BUG,0.99,0.99,122.22,67007.14,258.86,0.55,0.8,596,0,0.307
home-assistant,Line,BUG,0.62,0.62,2211.61,95985863.54,9797.24,0.29,0.41,560,0,0.441
home-assistant,Module,BUG,0.54,0.54,81.64,267414.33,517.12,0.42,0.62,560,0,0.441
ansible,Line,BUG,0.99,0.99,38658.42,9378575792.7,96843.05,0.37,0.47,303,0,0.219
ansible,Module,BUG,0.98,0.98,2536.65,38247228.72,6184.43,0.46,0.6,303,0,0.219
