Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
tensorflow,Line,BUG,0.89,0.89,15936.12,2146460124.4,46329.91,0.2,0.33,106
tensorflow,Module,BUG,0.97,0.97,297.24,397786.75,630.7,0.22,0.46,106
neutron,Line,BUG,0.84,0.84,29061.49,4567199009.56,67581.06,0.27,0.4,203
neutron,Module,BUG,0.99,0.99,77.65,17189.05,131.11,0.5,0.78,203
gitlabhq,Line,BUG,0.92,0.92,5023.51,316802019.48,17798.93,0.35,0.52,1154
gitlabhq,Module,BUG,0.96,0.96,75.36,150731.82,388.24,0.57,0.77,1154
orleans,Line,BUG,0.96,0.96,891.68,5062591.36,2250.02,0.4,0.55,114
orleans,Module,BUG,0.96,0.96,66.74,26917.07,164.06,0.43,0.56,114
moby,Line,BUG,0.96,0.96,1147.45,6232380.71,2496.47,0.4,0.51,319
moby,Module,BUG,0.99,0.99,49.82,16119.73,126.96,0.48,0.65,319
ansible,Line,BUG,1.0,1.0,25045.61,5325017376.56,72972.72,0.45,0.56,303
ansible,Module,BUG,1.0,1.0,1627.49,26193510.86,5117.96,0.5,0.67,303
home-assistant,Line,BUG,0.89,0.89,2516.97,134890660.96,11614.24,0.33,0.44,560
home-assistant,Module,BUG,0.88,0.88,91.09,293377.49,541.64,0.44,0.62,560
roslyn,Line,BUG,0.98,0.98,21793.47,2576755748.86,50761.75,0.54,0.65,102
roslyn,Module,BUG,0.97,0.97,574.82,3109111.98,1763.27,0.57,0.66,102
cli,Line,BUG,0.83,0.83,4194.93,256359824.56,16011.24,0.17,0.35,109
cli,Module,BUG,0.89,0.89,24.48,2025.54,45.01,0.28,0.5,109
vue,Line,BUG,0.99,0.99,229.62,461800.98,679.56,0.43,0.61,248
vue,Module,BUG,0.99,0.99,13.6,2462.5,49.62,0.61,0.79,248
node,Line,BUG,0.99,0.99,5794.56,178126994.93,13346.42,0.35,0.56,596
node,Module,BUG,1.0,1.0,119.36,51148.89,226.16,0.52,0.76,596
angular,Line,BUG,0.96,0.96,8236.01,295767489.17,17197.89,0.24,0.45,411
angular,Module,BUG,0.96,0.96,394.89,725644.18,851.85,0.28,0.49,411
neutron,Line,DOCS,0.86,0.86,791.85,11096490.16,3331.14,0.62,0.69,203
neutron,Module,DOCS,0.98,0.98,12.96,1255.93,35.44,0.7,0.79,203
gitlabhq,Line,DOCS,0.86,0.86,1376.01,64574670.04,8035.84,0.57,0.68,1154
gitlabhq,Module,DOCS,0.97,0.97,22.18,7350.95,85.74,0.61,0.74,1154
orleans,Line,DOCS,0.96,0.96,25.98,5459.63,73.89,0.8,0.82,114
orleans,Module,DOCS,0.96,0.96,1.21,12.16,3.49,0.83,0.88,114
tensorflow,Line,DOCS,0.86,0.86,8845.96,954446123.27,30894.11,0.53,0.6,106
tensorflow,Module,DOCS,0.86,0.86,261.1,1984601.4,1408.76,0.53,0.63,106
roslyn,Line,DOCS,0.93,0.93,1295.02,24002477.74,4899.23,0.7,0.74,102
roslyn,Module,DOCS,0.94,0.94,25.08,6370.81,79.82,0.69,0.74,102
home-assistant,Line,DOCS,0.88,0.88,279.79,7512609.49,2740.91,0.89,0.91,560
home-assistant,Module,DOCS,0.87,0.87,29.06,80951.2,284.52,0.9,0.91,560
moby,Line,DOCS,0.86,0.86,4561.19,167880496.81,12956.87,0.56,0.58,319
moby,Module,DOCS,0.96,0.96,35.81,10213.99,101.06,0.56,0.61,319
ansible,Line,DOCS,0.97,0.97,42893.36,42674366319.43,206577.75,0.68,0.76,303
ansible,Module,DOCS,0.97,0.97,1554.08,50292079.3,7091.69,0.63,0.77,303
node,Line,DOCS,0.95,0.95,4021.66,108966928.82,10438.72,0.42,0.51,596
node,Module,DOCS,0.98,0.98,21.41,2649.78,51.48,0.54,0.7,596
vue,Line,DOCS,0.98,0.98,4.16,400.63,20.02,0.93,0.94,248
vue,Module,DOCS,0.91,0.91,0.28,11.77,3.43,0.96,0.98,248
angular,Line,DOCS,0.91,0.91,8371.87,386466237.1,19658.74,0.22,0.36,411
angular,Module,DOCS,0.92,0.92,195.5,224531.71,473.85,0.24,0.48,411
cli,Line,DOCS,0.91,0.91,38.38,10688.76,103.39,0.79,0.8,109
cli,Module,DOCS,0.97,0.97,2.24,51.46,7.17,0.81,0.83,109
gitlabhq,Line,REFACTOR,0.94,0.94,706.41,7738956.47,2781.9,0.73,0.8,1154
gitlabhq,Module,REFACTOR,0.95,0.95,16.34,6041.98,77.73,0.76,0.84,1154
orleans,Line,REFACTOR,0.94,0.94,352.34,923267.34,960.87,0.81,0.83,114
orleans,Module,REFACTOR,0.98,0.98,5.39,201.23,14.19,0.82,0.87,114
neutron,Line,REFACTOR,0.98,0.98,553.75,1429686.84,1195.7,0.67,0.75,203
neutron,Module,REFACTOR,0.98,0.98,12.54,821.46,28.66,0.68,0.8,203
roslyn,Line,REFACTOR,0.9,0.9,27691.24,11119812879.91,105450.52,0.65,0.72,102
roslyn,Module,REFACTOR,0.81,0.8,927.84,30869765.95,5556.06,0.63,0.67,102
tensorflow,Line,REFACTOR,0.98,0.98,2777.69,123438198.48,11110.27,0.79,0.87,106
tensorflow,Module,REFACTOR,0.95,0.95,66.59,47909.42,218.88,0.63,0.79,106
home-assistant,Line,REFACTOR,0.88,0.88,1626.64,139207908.11,11798.64,0.89,0.91,560
home-assistant,Module,REFACTOR,0.95,0.95,9.53,4934.24,70.24,0.89,0.91,560
moby,Line,REFACTOR,0.96,0.96,347.56,1416745.14,1190.27,0.74,0.78,319
moby,Module,REFACTOR,0.96,0.96,5.01,237.99,15.43,0.76,0.82,319
node,Line,REFACTOR,0.99,0.99,4219.03,178187121.25,13348.67,0.62,0.7,596
node,Module,REFACTOR,1.0,1.0,35.8,7919.0,88.99,0.66,0.78,596
ansible,Line,REFACTOR,1.0,1.0,18782.25,4085262964.68,63916.06,0.78,0.83,303
ansible,Module,REFACTOR,1.0,1.0,179.07,979925.02,989.91,0.83,0.87,303
vue,Line,REFACTOR,0.99,0.99,84.74,60240.36,245.44,0.81,0.83,248
vue,Module,REFACTOR,0.99,0.99,1.86,21.81,4.67,0.81,0.87,248
cli,Line,REFACTOR,0.81,0.8,4852.47,283662801.23,16842.29,0.53,0.62,109
cli,Module,REFACTOR,0.87,0.87,59.65,19687.56,140.31,0.5,0.55,109
angular,Line,REFACTOR,0.97,0.97,5936.67,164404372.22,12822.03,0.25,0.43,411
angular,Module,REFACTOR,0.97,0.97,226.69,289227.35,537.8,0.32,0.46,411
neutron,Line,TESTING,0.95,0.95,3762.53,107919716.69,10388.44,0.45,0.6,203
neutron,Module,TESTING,0.98,0.98,82.28,36345.98,190.65,0.49,0.72,203
gitlabhq,Line,TESTING,0.96,0.96,21256.03,15028522124.76,122590.87,0.58,0.65,1154
gitlabhq,Module,TESTING,0.97,0.97,491.37,8579543.92,2929.09,0.6,0.7,1154
orleans,Line,TESTING,0.93,0.93,2317.5,43460340.49,6592.45,0.46,0.61,114
orleans,Module,TESTING,0.94,0.94,130.79,101702.49,318.91,0.52,0.59,114
roslyn,Line,TESTING,0.92,0.92,101076.83,137987285046.16,371466.4,0.55,0.66,102
roslyn,Module,TESTING,0.96,0.96,674.66,3546626.29,1883.25,0.59,0.71,102
home-assistant,Line,TESTING,0.93,0.93,6526.33,2010709999.74,44840.94,0.78,0.79,560
home-assistant,Module,TESTING,0.9,0.9,38.63,32850.81,181.25,0.82,0.85,560
moby,Line,TESTING,0.93,0.93,1512.17,22798602.31,4774.79,0.5,0.59,319
moby,Module,TESTING,0.98,0.98,28.68,6029.51,77.65,0.53,0.66,319
node,Line,TESTING,0.99,0.99,8839.3,355440339.85,18853.13,0.38,0.54,596
node,Module,TESTING,0.99,0.99,476.68,1045484.46,1022.49,0.4,0.57,596
tensorflow,Line,TESTING,0.96,0.96,10697.13,742889960.59,27256.01,0.34,0.48,106
tensorflow,Module,TESTING,0.99,0.99,121.76,68630.99,261.98,0.43,0.63,106
cli,Line,TESTING,0.79,0.78,26785.77,15013050392.53,122527.75,0.23,0.29,109
cli,Module,TESTING,0.84,0.84,127.29,232805.24,482.5,0.27,0.5,109
ansible,Line,TESTING,1.0,1.0,20552.01,3989253475.21,63160.54,0.61,0.7,303
ansible,Module,TESTING,1.0,1.0,1399.8,16656664.4,4081.26,0.57,0.7,303
vue,Line,TESTING,1.0,1.0,141.26,281693.29,530.75,0.65,0.75,248
vue,Module,TESTING,1.0,1.0,4.51,201.17,14.18,0.7,0.78,248
angular,Line,TESTING,0.94,0.94,10088.12,468356509.49,21641.55,0.23,0.32,411
angular,Module,TESTING,0.92,0.92,92.51,124662.95,353.08,0.32,0.54,411
neutron,Line,FEATURE,0.95,0.95,234.91,338644.43,581.93,0.8,0.83,203
neutron,Module,FEATURE,0.94,0.94,4.16,107.04,10.35,0.78,0.84,203
gitlabhq,Line,FEATURE,0.94,0.94,502.74,2444187.24,1563.39,0.62,0.69,1154
gitlabhq,Module,FEATURE,0.95,0.95,20.05,6382.72,79.89,0.67,0.75,1154
orleans,Line,FEATURE,0.98,0.98,114.87,129230.47,359.49,0.88,0.89,114
orleans,Module,FEATURE,0.97,0.97,8.67,877.66,29.63,0.89,0.9,114
home-assistant,Line,FEATURE,0.85,0.85,274.51,10898337.71,3301.26,0.89,0.9,560
home-assistant,Module,FEATURE,0.91,0.91,4.07,1561.36,39.51,0.91,0.93,560
roslyn,Line,FEATURE,0.93,0.93,13459.5,1235275755.12,35146.49,0.65,0.72,102
roslyn,Module,FEATURE,0.87,0.87,515.39,3079486.53,1754.85,0.65,0.74,102
moby,Line,FEATURE,0.85,0.85,43.27,26154.18,161.72,0.81,0.84,319
moby,Module,FEATURE,0.88,0.88,1.18,14.71,3.83,0.8,0.85,319
node,Line,FEATURE,0.96,0.96,61.16,34299.44,185.2,0.8,0.85,596
node,Module,FEATURE,0.99,0.99,2.41,42.55,6.52,0.79,0.84,596
tensorflow,Line,FEATURE,0.95,0.95,1448.38,11569610.81,3401.41,0.62,0.72,106
tensorflow,Module,FEATURE,0.96,0.96,16.85,1527.12,39.08,0.65,0.75,106
vue,Line,FEATURE,0.98,0.98,28.14,19697.19,140.35,0.89,0.95,248
vue,Module,FEATURE,0.96,0.96,1.45,62.49,7.9,0.9,0.92,248
cli,Line,FEATURE,0.91,0.91,95.86,280023.62,529.17,0.82,0.83,109
cli,Module,FEATURE,0.9,0.9,5.16,544.14,23.33,0.81,0.84,109
ansible,Line,FEATURE,0.99,0.99,3095.22,179027607.2,13380.12,0.79,0.82,303
ansible,Module,FEATURE,1.0,1.0,31.97,22429.02,149.76,0.82,0.88,303
angular,Line,FEATURE,0.9,0.9,9636.13,1478252321.3,38448.05,0.39,0.54,411
angular,Module,FEATURE,0.96,0.96,152.82,217095.25,465.93,0.43,0.63,411
orleans,Line,UPGRADE,1.0,1.0,33.91,10749.59,103.68,0.89,0.93,114
orleans,Module,UPGRADE,0.96,0.96,7.46,761.94,27.6,0.84,0.87,114
neutron,Line,UPGRADE,0.86,0.86,726.35,4125123.38,2031.04,0.53,0.61,203
neutron,Module,UPGRADE,0.93,0.93,8.7,466.06,21.59,0.64,0.74,203
gitlabhq,Line,UPGRADE,0.94,0.94,528.19,4178980.98,2044.26,0.6,0.66,1154
gitlabhq,Module,UPGRADE,0.94,0.94,8.41,1327.22,36.43,0.68,0.77,1154
roslyn,Line,UPGRADE,0.77,0.76,2809.65,111859994.94,10576.39,0.6,0.64,102
roslyn,Module,UPGRADE,0.91,0.91,67.19,33935.11,184.21,0.6,0.66,102
home-assistant,Line,UPGRADE,0.89,0.89,428.34,6381979.36,2526.26,0.78,0.82,560
home-assistant,Module,UPGRADE,0.97,0.97,30.36,16219.85,127.36,0.84,0.91,560
node,Line,UPGRADE,0.99,0.99,155978.52,90847897136.67,301409.85,0.42,0.54,596
node,Module,UPGRADE,0.99,0.99,1371.27,5234523.01,2287.91,0.46,0.6,596
tensorflow,Line,UPGRADE,0.81,0.8,14081.31,9902259957.63,99510.1,0.41,0.47,106
tensorflow,Module,UPGRADE,0.9,0.9,24.71,9162.42,95.72,0.58,0.77,106
moby,Line,UPGRADE,0.96,0.96,121.54,80283.68,283.34,0.62,0.66,319
moby,Module,UPGRADE,0.98,0.98,3.9,99.38,9.97,0.67,0.75,319
cli,Line,UPGRADE,0.86,0.86,1329.71,56300457.34,7503.36,0.49,0.52,109
cli,Module,UPGRADE,0.86,0.86,24.52,13110.76,114.5,0.47,0.57,109
ansible,Line,UPGRADE,0.99,0.99,844.02,9156628.56,3025.99,0.71,0.81,303
ansible,Module,UPGRADE,1.0,1.0,12.96,1347.36,36.71,0.74,0.83,303
vue,Line,UPGRADE,0.83,0.83,77.48,410588.37,640.77,0.9,0.92,248
vue,Module,UPGRADE,0.94,0.94,0.48,6.77,2.6,0.9,0.93,248
angular,Line,UPGRADE,0.9,0.9,1562.46,12601285.75,3549.83,0.51,0.61,411
angular,Module,UPGRADE,0.86,0.86,24.91,31999.42,178.88,0.62,0.71,411
orleans,Line,RELEASE,0.84,0.84,48.42,34706.8,186.3,0.75,0.78,114
orleans,Module,RELEASE,0.85,0.85,1.18,21.5,4.64,0.77,0.81,114
neutron,Line,RELEASE,0.91,0.91,932.97,14517318.41,3810.16,0.48,0.57,203
neutron,Module,RELEASE,0.99,0.99,5.62,229.12,15.14,0.67,0.74,203
gitlabhq,Line,RELEASE,0.95,0.95,74.16,124650.8,353.06,0.71,0.74,1154
gitlabhq,Module,RELEASE,0.96,0.96,3.21,185.33,13.61,0.76,0.8,1154
home-assistant,Line,RELEASE,0.62,0.62,14.59,40445.56,201.11,0.86,0.88,560
home-assistant,Module,RELEASE,0.95,0.95,0.98,60.66,7.79,0.88,0.9,560
roslyn,Line,RELEASE,0.94,0.94,319.63,1341690.6,1158.31,0.68,0.71,102
roslyn,Module,RELEASE,0.93,0.93,14.15,1677.64,40.96,0.69,0.75,102
moby,Line,RELEASE,0.86,0.86,57.14,43364.24,208.24,0.74,0.76,319
moby,Module,RELEASE,0.92,0.92,2.71,62.47,7.9,0.75,0.8,319
tensorflow,Line,RELEASE,0.87,0.87,16850.97,1136443496.62,33711.18,0.29,0.35,106
tensorflow,Module,RELEASE,0.86,0.86,43.41,11611.47,107.76,0.41,0.54,106
vue,Line,RELEASE,0.98,0.98,2118.47,28183170.84,5308.78,0.28,0.33,248
vue,Module,RELEASE,0.99,0.99,2.85,69.06,8.31,0.45,0.61,248
ansible,Line,RELEASE,0.98,0.98,475.54,776154.35,881.0,0.25,0.4,303
ansible,Module,RELEASE,0.99,0.99,11.85,414.3,20.35,0.5,0.75,303
node,Line,RELEASE,0.99,0.99,142.24,123730.37,351.75,0.55,0.63,596
node,Module,RELEASE,0.99,0.99,4.2,104.06,10.2,0.59,0.71,596
cli,Line,RELEASE,0.93,0.93,36.08,8637.43,92.94,0.64,0.72,109
cli,Module,RELEASE,0.95,0.95,1.01,8.36,2.89,0.72,0.81,109
angular,Line,RELEASE,0.92,0.92,154.65,117450.69,342.71,0.26,0.38,411
angular,Module,RELEASE,0.99,0.99,3.52,58.87,7.67,0.53,0.73,411
orleans,Line,SUPPORT,0.99,0.99,396.24,896507.94,946.84,0.6,0.7,114
orleans,Module,SUPPORT,0.99,0.99,13.74,1317.06,36.29,0.63,0.69,114
gitlabhq,Line,SUPPORT,0.94,0.94,779.69,8825659.13,2970.8,0.68,0.74,1154
gitlabhq,Module,SUPPORT,0.97,0.97,12.41,2316.2,48.13,0.74,0.81,1154
neutron,Line,SUPPORT,0.96,0.96,2436.89,37058075.1,6087.53,0.49,0.64,203
neutron,Module,SUPPORT,0.98,0.98,31.76,5232.22,72.33,0.64,0.81,203
moby,Line,SUPPORT,0.94,0.94,972.69,17719647.13,4209.47,0.62,0.68,319
moby,Module,SUPPORT,0.98,0.98,16.94,3883.65,62.32,0.64,0.75,319
home-assistant,Line,SUPPORT,0.9,0.9,1540.4,46069993.24,6787.49,0.78,0.84,560
home-assistant,Module,SUPPORT,0.93,0.93,28.49,23769.65,154.17,0.81,0.88,560
tensorflow,Line,SUPPORT,0.99,0.99,3927.24,163792070.94,12798.13,0.67,0.76,106
tensorflow,Module,SUPPORT,0.99,0.99,95.07,112620.74,335.59,0.6,0.78,106
roslyn,Line,SUPPORT,0.8,0.79,143366.59,411988784433.84,641863.52,0.64,0.72,102
roslyn,Module,SUPPORT,0.93,0.93,634.96,4885476.9,2210.31,0.68,0.75,102
vue,Line,SUPPORT,1.0,1.0,67.99,38111.33,195.22,0.77,0.83,248
vue,Module,SUPPORT,1.0,1.0,3.46,117.33,10.83,0.77,0.86,248
node,Line,SUPPORT,0.98,0.98,3264.75,89318541.77,9450.85,0.5,0.62,596
node,Module,SUPPORT,1.0,1.0,16.98,1148.23,33.89,0.62,0.78,596
ansible,Line,SUPPORT,1.0,1.0,6394.15,627527547.91,25050.5,0.72,0.79,303
ansible,Module,SUPPORT,1.0,1.0,114.88,198206.9,445.2,0.8,0.87,303
cli,Line,SUPPORT,0.81,0.8,1061.01,6666066.15,2581.87,0.55,0.59,109
cli,Module,SUPPORT,0.86,0.86,10.59,494.72,22.24,0.55,0.73,109
angular,Line,SUPPORT,0.98,0.98,224.28,499694.02,706.89,0.68,0.73,411
angular,Module,SUPPORT,0.98,0.98,3.99,98.3,9.91,0.73,0.8,411
orleans,Line,OTHER,0.96,0.96,16265.1,1930286315.58,43935.02,0.3,0.44,114
orleans,Module,OTHER,0.96,0.96,584.46,2741393.06,1655.72,0.32,0.45,114
neutron,Line,OTHER,0.84,0.84,208276.63,467624147764.83,683830.5,0.31,0.45,203
neutron,Module,OTHER,0.98,0.98,555.4,1627383.91,1275.69,0.54,0.77,203
gitlabhq,Line,OTHER,0.95,0.95,24663.84,5200701052.47,72115.89,0.21,0.36,1154
gitlabhq,Module,OTHER,0.96,0.96,367.68,4043331.98,2010.8,0.4,0.63,1154
moby,Line,OTHER,0.98,0.98,26323.04,6282126071.21,79259.86,0.21,0.34,319
moby,Module,OTHER,0.99,0.99,315.72,1071061.53,1034.92,0.26,0.45,319
tensorflow,Line,OTHER,0.93,0.93,360771.5,864669362941.07,929875.99,0.11,0.21,106
tensorflow,Module,OTHER,0.9,0.9,5135.63,192903563.77,13888.97,0.16,0.32,106
roslyn,Line,OTHER,0.95,0.95,366493.09,1642089855518.92,1281440.54,0.46,0.53,102
roslyn,Module,OTHER,0.92,0.92,7096.8,861702246.17,29354.77,0.52,0.58,102
home-assistant,Line,OTHER,0.93,0.93,15660.23,2965245583.02,54454.07,0.13,0.26,560
home-assistant,Module,OTHER,0.87,0.87,1054.69,28841713.74,5370.45,0.28,0.48,560
node,Line,OTHER,0.99,0.99,253181.39,258696894327.84,508622.55,0.26,0.4,596
node,Module,OTHER,1.0,1.0,1756.73,13156246.51,3627.15,0.4,0.54,596
cli,Line,OTHER,0.81,0.8,140294.17,100744734993.33,317403.11,0.05,0.16,109
cli,Module,OTHER,0.86,0.86,587.14,1326343.36,1151.67,0.24,0.45,109
ansible,Line,OTHER,1.0,1.0,119917.77,150079498384.99,387400.95,0.36,0.46,303
ansible,Module,OTHER,1.0,1.0,2548.17,42855062.05,6546.38,0.48,0.63,303
vue,Line,OTHER,0.98,0.98,7406.6,161407154.64,12704.61,0.21,0.33,248
vue,Module,OTHER,1.0,1.0,31.69,8146.48,90.26,0.49,0.68,248
angular,Line,OTHER,0.96,0.96,47973.2,18593918307.75,136359.52,0.15,0.24,411
angular,Module,OTHER,0.95,0.95,287.73,354177.61,595.13,0.25,0.44,411
lock,Line,BUG,0.98,0.98,2895.17,180975090.79,13452.7,0.54,0.58,492
lock,Module,BUG,0.9,0.9,54.11,42023.41,205.0,0.6,0.68,492
kubernetes,Line,BUG,0.91,0.91,39467.43,15706405798.69,125325.2,0.48,0.57,641
kubernetes,Module,BUG,0.94,0.94,544.56,2481101.85,1575.15,0.52,0.66,641
nova,Line,BUG,0.89,0.89,30603.23,4838259712.4,69557.6,0.36,0.52,234
