,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,AutoMapper,Line,BUG,0.77,0.75,2119.84,7297556.97,2701.4,0.22,0.22,33
0,AutoMapper,Line,DOCS,0.84,0.75,231.85,156098.6,395.09,0.67,0.67,9
0,AutoMapper,Line,FEATURE,0.63,-0.1,42428.52,1800179059.64,42428.52,0.0,0.0,4
0,AutoMapper,Line,OTHER,0.75,0.73,57510.14,8126678993.71,90148.09,0.1,0.2,39
0,AutoMapper,Line,REFACTOR,0.84,0.79,254.29,79969.8,282.79,0.0,0.33,11
0,AutoMapper,Line,RELEASE,0.97,0.96,106.71,30636.21,175.03,0.0,0.33,10
0,AutoMapper,Line,SUPPORT,0.51,0.41,1072.62,2047496.5,1430.91,0.4,0.6,17
0,AutoMapper,Line,TESTING,0.59,0.54,2729.17,10549064.27,3247.93,0.14,0.29,28
0,AutoMapper,Line,UPGRADE,0.54,0.39,5412.52,29386706.32,5420.95,0.0,0.0,11
0,AutoMapper,Module,BUG,0.93,0.92,74.07,8147.26,90.26,0.11,0.44,33
0,AutoMapper,Module,DOCS,0.92,0.84,24.82,1353.02,36.78,0.33,0.67,9
0,AutoMapper,Module,FEATURE,1.0,,386.92,149707.36,386.92,0.0,0.0,4
0,AutoMapper,Module,OTHER,0.88,0.87,305.05,206045.28,453.92,0.2,0.4,39
0,AutoMapper,Module,REFACTOR,0.96,0.94,0.46,0.31,0.56,1.0,1.0,11
0,AutoMapper,Module,RELEASE,1.0,1.0,2.53,7.43,2.73,0.0,0.0,10
0,AutoMapper,Module,SUPPORT,0.85,0.8,21.89,1131.13,33.63,0.4,0.6,17
0,AutoMapper,Module,TESTING,0.86,0.84,50.27,3317.89,57.6,0.0,0.0,28
0,AutoMapper,Module,UPGRADE,0.99,0.99,3.65,23.69,4.87,1.0,1.0,11
0,Odin,Line,BUG,0.74,0.47,2239.74,7446027.61,2728.74,0.0,0.5,6
0,Odin,Module,BUG,0.99,0.94,143.73,41316.43,203.26,0.5,0.5,6
0,angular,Line,BUG,0.82,0.82,7348.05,120344635.97,10970.17,0.15,0.3,326
0,angular,Line,DOCS,0.4,0.4,5662.74,83587511.43,9142.62,0.16,0.29,318
0,angular,Line,FEATURE,0.58,0.58,4739.04,50016752.1,7072.25,0.5,0.74,262
0,angular,Line,OTHER,0.46,0.46,26402.86,2557685357.96,50573.56,0.06,0.18,315
0,angular,Line,REFACTOR,0.86,0.86,5465.04,96697586.21,9833.49,0.41,0.64,295
0,angular,Line,RELEASE,0.53,0.52,147.84,95368.56,308.82,0.23,0.34,280
0,angular,Line,SUPPORT,0.73,0.72,1074.63,1823342.24,1350.31,0.04,0.22,108
0,angular,Line,TESTING,0.67,0.67,10114.77,278560364.43,16690.13,0.1,0.2,279
0,angular,Line,UPGRADE,0.54,0.53,2390.36,13368395.36,3656.28,0.18,0.39,194
0,angular,Module,BUG,0.74,0.73,325.26,328828.99,573.44,0.23,0.45,326
0,angular,Module,DOCS,0.41,0.41,143.33,47339.5,217.58,0.16,0.34,318
0,angular,Module,FEATURE,0.67,0.66,88.55,23174.92,152.23,0.45,0.74,262
0,angular,Module,OTHER,0.81,0.8,318.72,463525.48,680.83,0.28,0.51,315
0,angular,Module,REFACTOR,0.78,0.78,263.85,207903.45,455.96,0.19,0.49,295
0,angular,Module,RELEASE,0.97,0.96,2.27,11.74,3.43,0.64,0.91,280
0,angular,Module,SUPPORT,0.87,0.87,9.82,192.75,13.88,0.22,0.52,108
0,angular,Module,TESTING,0.7,0.69,63.26,21841.43,147.79,0.56,0.89,279
0,angular,Module,UPGRADE,0.86,0.86,44.68,26193.09,161.84,0.55,0.73,194
0,angular.js,Line,BUG,0.75,0.75,9185.26,257906530.53,16059.47,0.14,0.35,196
0,angular.js,Line,DOCS,0.33,0.32,33244.92,5458612809.52,73882.43,0.08,0.19,191
0,angular.js,Line,FEATURE,0.83,0.83,3418.51,30781827.03,5548.14,0.29,0.63,152
0,angular.js,Line,OTHER,0.62,0.61,24686.04,1597124567.16,39964.04,0.09,0.24,182
0,angular.js,Line,REFACTOR,0.53,0.52,4865.98,124744540.49,11168.91,0.26,0.54,153
0,angular.js,Line,RELEASE,0.7,0.69,137.82,37557.43,193.8,0.22,0.28,126
0,angular.js,Line,SUPPORT,0.51,0.48,83.57,12224.73,110.57,0.18,0.36,41
0,angular.js,Line,TESTING,0.77,0.77,2601.54,16839700.5,4103.62,0.18,0.42,158
0,angular.js,Line,UPGRADE,0.25,0.23,13043.56,305979468.16,17492.27,0.0,0.0,84
0,angular.js,Module,BUG,0.93,0.93,134.65,48191.99,219.53,0.41,0.67,196
0,angular.js,Module,DOCS,0.94,0.94,68.35,12596.92,112.24,0.27,0.67,191
0,angular.js,Module,FEATURE,0.84,0.84,25.77,5646.8,75.15,0.76,0.97,152
0,angular.js,Module,OTHER,0.73,0.72,758.52,1223981.86,1106.34,0.02,0.09,182
0,angular.js,Module,REFACTOR,0.91,0.91,21.73,1350.09,36.74,0.59,0.85,153
0,angular.js,Module,RELEASE,0.94,0.93,3.12,14.61,3.82,0.5,0.94,126
0,angular.js,Module,SUPPORT,0.73,0.7,6.22,74.42,8.63,0.09,0.27,41
0,angular.js,Module,TESTING,0.95,0.95,23.1,1199.89,34.64,0.4,0.85,158
0,angular.js,Module,UPGRADE,0.41,0.38,38.88,2908.57,53.93,0.05,0.05,84
0,ansible,Line,BUG,0.98,0.98,20640.62,1360171136.46,36880.5,0.5,0.71,246
0,ansible,Line,DOCS,0.77,0.76,61238.19,8419278970.47,91756.63,0.31,0.38,180
0,ansible,Line,FEATURE,0.77,0.76,9999.25,216984328.43,14730.39,0.56,0.66,125
0,ansible,Line,OTHER,0.91,0.91,162862.44,97546721664.19,312324.71,0.55,0.58,266
0,ansible,Line,REFACTOR,0.82,0.82,33368.13,2165467501.67,46534.58,0.39,0.42,122
0,ansible,Line,RELEASE,0.75,0.74,587.91,444240.72,666.51,0.03,0.29,251
0,ansible,Line,SUPPORT,0.78,0.78,8146.12,382356060.09,19553.93,0.5,0.57,182
0,ansible,Line,TESTING,0.93,0.93,42983.0,5704133656.96,75525.72,0.56,0.69,214
0,ansible,Line,UPGRADE,0.75,0.74,1554.03,6373356.47,2524.55,0.46,0.62,154
0,ansible,Module,BUG,0.97,0.97,1508.09,6282160.82,2506.42,0.55,0.65,246
0,ansible,Module,DOCS,0.81,0.8,2084.61,9634888.62,3104.01,0.33,0.36,180
0,ansible,Module,FEATURE,0.92,0.92,145.2,32448.89,180.14,0.56,0.69,125
0,ansible,Module,OTHER,0.97,0.97,2790.34,21971543.46,4687.38,0.49,0.58,266
0,ansible,Module,REFACTOR,0.88,0.88,1359.59,2973873.24,1724.49,0.35,0.39,122
0,ansible,Module,RELEASE,0.91,0.91,19.85,706.44,26.58,0.59,0.9,251
0,ansible,Module,SUPPORT,0.92,0.92,122.44,58428.61,241.72,0.54,0.67,182
0,ansible,Module,TESTING,0.9,0.9,1669.82,6598910.58,2568.83,0.65,0.7,214
0,ansible,Module,UPGRADE,0.96,0.96,22.36,799.14,28.27,0.62,0.9,154
0,brew,Line,BUG,0.18,0.15,1338.25,25158626.68,5015.84,0.09,0.14,86
0,brew,Line,DOCS,0.36,0.33,153.84,85848.32,293.0,0.0,0.0,55
0,brew,Line,FEATURE,,,0.0,0.0,0.0,,,10
0,brew,Line,OTHER,0.18,0.16,1934.19,46729276.44,6835.88,0.11,0.19,107
0,brew,Line,REFACTOR,0.17,0.07,382.48,186872.22,432.29,0.0,0.0,27
0,brew,Line,RELEASE,0.85,0.77,11.45,204.41,14.3,0.0,0.0,8
0,brew,Line,SUPPORT,0.3,0.19,60.05,16219.09,127.35,0.0,0.2,20
0,brew,Line,TESTING,0.21,0.17,449.08,818991.81,904.98,0.06,0.06,66
0,brew,Line,UPGRADE,0.32,0.29,77.73,6843.5,82.73,0.0,0.06,71
0,brew,Module,BUG,0.77,0.76,54.44,17067.47,130.64,0.36,0.64,86
0,brew,Module,DOCS,0.36,0.31,12.75,329.19,18.14,0.07,0.29,55
0,brew,Module,FEATURE,,,0.0,0.0,0.0,,,10
0,brew,Module,OTHER,0.5,0.48,120.9,91250.55,302.08,0.26,0.44,107
0,brew,Module,REFACTOR,0.82,0.78,19.47,525.84,22.93,1.0,1.0,27
0,brew,Module,RELEASE,1.0,1.0,1.14,1.6,1.26,0.5,0.5,8
0,brew,Module,SUPPORT,0.9,0.87,5.84,87.36,9.35,0.2,0.6,20
0,brew,Module,TESTING,0.4,0.36,14.3,370.32,19.24,0.12,0.47,66
0,brew,Module,UPGRADE,0.81,0.8,14.27,408.85,20.22,0.67,0.89,71
0,browser-sync,Line,BUG,0.06,0.04,1023.21,1450571.76,1204.4,0.04,0.04,103
0,browser-sync,Line,DOCS,0.42,0.33,35.22,1988.94,44.6,0.17,0.33,21
0,browser-sync,Line,FEATURE,0.95,0.94,2566.08,36886999.38,6073.47,0.0,0.33,22
0,browser-sync,Line,REFACTOR,0.87,0.61,120.38,28724.46,169.48,0.5,0.5,5
0,browser-sync,Line,TESTING,0.22,0.14,516.68,290054.23,538.57,0.0,0.0,28
0,browser-sync,Line,UPGRADE,0.63,-0.1,18.62,346.56,18.62,0.0,0.0,4
0,browser-sync,Module,BUG,0.71,0.7,4.41,54.07,7.35,0.42,0.96,103
0,browser-sync,Module,DOCS,0.31,0.13,1.57,3.29,1.81,0.33,0.5,21
0,browser-sync,Module,FEATURE,0.96,0.95,15.12,941.8,30.69,0.33,0.5,22
0,browser-sync,Module,REFACTOR,1.0,,7.29,53.74,7.33,0.0,0.0,5
0,browser-sync,Module,TESTING,0.31,0.2,12.66,165.21,12.85,0.0,0.0,28
0,browser-sync,Module,UPGRADE,1.0,,0.1,0.01,0.1,1.0,1.0,4
0,cf-deployment,Line,BUG,0.08,0.04,125.75,25457.24,159.55,0.0,0.0,64
0,cf-deployment,Line,DOCS,0.23,0.08,78.83,7753.18,88.05,0.25,0.5,16
0,cf-deployment,Line,FEATURE,-inf,,10.57,111.64,10.57,0.0,1.0,2
0,cf-deployment,Line,OTHER,0.36,0.35,965.82,1965561.09,1401.98,0.09,0.26,139
0,cf-deployment,Line,REFACTOR,1.0,1.0,468.23,233089.0,482.79,0.0,0.0,5
0,cf-deployment,Line,RELEASE,0.3,0.28,796.86,9294587.26,3048.7,0.29,0.43,140
0,cf-deployment,Line,SUPPORT,0.55,0.49,169.65,76556.19,276.69,0.43,0.57,25
0,cf-deployment,Line,TESTING,0.07,0.03,1110.14,13663067.95,3696.36,0.05,0.15,79
0,cf-deployment,Line,UPGRADE,0.48,0.22,52.25,4847.44,69.62,0.0,0.5,8
0,cf-deployment,Module,BUG,0.88,0.87,4.4,39.84,6.31,0.44,0.88,64
0,cf-deployment,Module,DOCS,0.51,0.35,1.28,2.73,1.65,0.5,0.75,16
0,cf-deployment,Module,FEATURE,-inf,,1.28,1.63,1.28,0.0,1.0,2
0,cf-deployment,Module,OTHER,0.89,0.88,20.29,675.87,26.0,0.17,0.37,139
0,cf-deployment,Module,REFACTOR,1.0,,26.75,728.37,26.99,0.0,0.0,5
0,cf-deployment,Module,RELEASE,0.96,0.95,6.09,91.12,9.55,0.69,0.94,140
0,cf-deployment,Module,SUPPORT,0.99,0.99,3.44,51.65,7.19,0.86,1.0,25
0,cf-deployment,Module,TESTING,0.85,0.84,10.03,429.17,20.72,0.2,0.65,79
0,cf-deployment,Module,UPGRADE,0.88,0.76,0.7,0.74,0.86,0.5,1.0,8
0,cinder,Line,BUG,0.17,0.16,36446.47,8128065400.1,90155.78,0.02,0.1,158
0,cinder,Line,DOCS,0.98,0.98,943.97,1794692.04,1339.66,0.33,0.48,82
0,cinder,Line,FEATURE,0.82,0.81,1144.33,3063166.43,1750.19,0.2,0.4,57
0,cinder,Line,OTHER,0.48,0.47,309062.27,511706577740.12,715336.69,0.1,0.17,161
0,cinder,Line,REFACTOR,0.8,0.8,7820.76,83175411.05,9120.06,0.25,0.25,61
0,cinder,Line,RELEASE,0.35,0.33,1641.88,5891787.15,2427.3,0.05,0.05,80
0,cinder,Line,SUPPORT,0.95,0.94,3492.11,22267183.29,4718.81,0.32,0.39,122
0,cinder,Line,TESTING,0.86,0.85,3641.39,29651140.72,5445.29,0.23,0.45,121
0,cinder,Line,UPGRADE,0.64,0.63,531.07,656587.74,810.3,0.4,0.45,80
0,cinder,Module,BUG,0.96,0.96,103.07,26615.62,163.14,0.68,0.85,158
0,cinder,Module,DOCS,0.95,0.95,25.63,1798.7,42.41,0.48,0.62,82
0,cinder,Module,FEATURE,0.85,0.84,18.69,514.68,22.69,0.07,0.4,57
0,cinder,Module,OTHER,0.98,0.98,365.87,355502.71,596.24,0.49,0.73,161
0,cinder,Module,REFACTOR,0.87,0.86,31.58,1723.41,41.51,0.25,0.56,61
