,Project,Model,Task,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,Odin,Line,BUG,201.57,40630.15,201.57,0.0,1.0,68
0,Odin,Module,BUG,8.33,69.38,8.33,1.0,1.0,68
0,angular,Line,BUG,2216.45,14596446.31,3820.53,0.48,0.73,4539
0,angular,Line,DOCS,3163.17,30107147.37,5487.0,0.49,0.66,4590
0,angular,Module,BUG,52.48,6799.49,82.46,0.7,0.91,4539
0,angular,Module,DOCS,73.48,12826.28,113.25,0.51,0.78,4590
0,angular.js,Line,BUG,1615.81,7636501.85,2763.42,0.3,0.55,2703
0,angular.js,Line,DOCS,893.27,3601315.03,1897.71,0.36,0.64,1700
0,angular.js,Line,FEATURE,678.1,1045145.34,1022.32,0.36,0.68,1887
0,angular.js,Line,REFACTOR,548.57,584213.92,764.34,0.37,0.63,2006
0,angular.js,Line,TESTING,1364.77,4085396.16,2021.24,0.28,0.45,1955
0,angular.js,Line,UPGRADE,87.62,10779.55,103.82,0.23,0.31,850
0,angular.js,Module,BUG,27.99,1820.33,42.67,0.7,0.9,2703
0,angular.js,Module,DOCS,12.27,282.37,16.8,0.72,0.88,1700
0,angular.js,Module,FEATURE,4.93,37.63,6.13,0.75,0.96,1887
0,angular.js,Module,REFACTOR,8.17,107.92,10.39,0.53,0.77,2006
0,angular.js,Module,TESTING,8.12,134.95,11.62,0.62,0.83,1955
0,angular.js,Module,UPGRADE,2.05,5.82,2.41,0.38,0.62,850
0,ansible,Line,BUG,11928.28,408934149.46,20222.12,0.49,0.53,3553
0,ansible,Line,DOCS,23642.16,768902593.34,27729.09,0.03,0.46,2618
0,ansible,Line,FEATURE,10516.96,263056156.44,16219.01,0.56,0.64,1649
0,ansible,Line,REFACTOR,17507.35,407047815.83,20175.43,0.54,0.58,1734
0,ansible,Line,TESTING,26966.72,1496499985.89,38684.62,0.46,0.63,3077
0,ansible,Line,UPGRADE,577.39,960509.23,980.06,0.67,0.7,2006
0,ansible,Module,BUG,701.42,1381254.52,1175.27,0.47,0.55,3553
0,ansible,Module,DOCS,769.02,820107.71,905.6,0.08,0.54,2618
0,ansible,Module,FEATURE,137.02,33079.45,181.88,0.6,0.68,1649
0,ansible,Module,REFACTOR,543.31,338080.67,581.45,0.27,0.69,1734
0,ansible,Module,TESTING,1884.47,9956830.64,3155.44,0.52,0.59,3077
0,ansible,Module,UPGRADE,16.36,646.0,25.42,0.5,0.8,2006
0,cf-deployment,Line,BUG,10.53,176.97,13.3,0.17,0.42,799
0,cf-deployment,Line,DOCS,161.27,51022.55,225.88,0.0,0.25,238
0,cf-deployment,Module,BUG,2.53,8.54,2.92,0.5,0.92,799
0,cf-deployment,Module,DOCS,5.52,84.01,9.17,0.25,0.75,238
0,cinder,Line,BUG,624.41,690639.75,831.05,0.54,0.88,1581
0,cinder,Line,DOCS,249.36,101518.0,318.62,0.29,0.64,952
0,cinder,Line,FEATURE,2708.18,15040794.55,3878.25,0.17,0.42,765
0,cinder,Line,OTHER,8220.0,111014685.57,10536.35,0.22,0.26,1564
0,cinder,Line,REFACTOR,12639.93,224446452.36,14981.54,0.07,0.13,1003
0,cinder,Line,RELEASE,190.45,63701.76,252.39,0.06,0.12,1054
0,cinder,Line,SUPPORT,4391.74,40647485.57,6375.54,0.29,0.39,1887
0,cinder,Line,TESTING,1303.79,3986973.18,1996.74,0.08,0.28,1649
0,cinder,Line,UPGRADE,315.25,199093.08,446.2,0.47,0.63,1241
0,cinder,Module,BUG,25.12,1152.21,33.94,0.54,0.92,1581
0,cinder,Module,DOCS,9.42,175.93,13.26,0.29,0.79,952
0,cinder,Module,FEATURE,15.23,336.94,18.36,0.25,0.67,765
0,cinder,Module,OTHER,57.03,7149.54,84.55,0.57,0.74,1564
0,cinder,Module,REFACTOR,56.77,4340.03,65.88,0.0,0.33,1003
0,cinder,Module,RELEASE,2.8,12.81,3.58,0.62,0.75,1054
0,cinder,Module,SUPPORT,61.48,7657.57,87.51,0.18,0.54,1887
0,cinder,Module,TESTING,32.25,3390.67,58.23,0.36,0.64,1649
0,cinder,Module,UPGRADE,12.55,340.71,18.46,0.42,0.58,1241
0,cli,Line,BUG,257.83,113785.42,337.32,0.43,0.43,442
0,cli,Module,BUG,10.01,173.28,13.16,0.57,0.57,442
0,elasticsearch,Line,BUG,9046.1,147400736.07,12140.87,0.48,0.61,2074
0,elasticsearch,Line,DOCS,18848.25,1130825373.4,33627.75,0.53,0.59,2261
0,elasticsearch,Line,FEATURE,76117.54,8528783829.14,92351.41,0.0,0.3,1360
0,elasticsearch,Line,OTHER,248167.95,119651542778.17,345906.84,0.45,0.58,2227
0,elasticsearch,Line,REFACTOR,9515.65,267210751.76,16346.58,0.86,0.91,1496
0,elasticsearch,Line,RELEASE,2566.19,14252709.45,3775.28,0.77,0.89,2346
0,elasticsearch,Line,SUPPORT,99782.28,17050615907.26,130578.01,0.6,0.6,1700
0,elasticsearch,Line,TESTING,69319.52,6465198445.86,80406.46,0.67,0.79,2227
0,elasticsearch,Line,UPGRADE,25913.93,1476275451.99,38422.33,0.5,0.58,1734
0,elasticsearch,Module,BUG,474.94,447077.8,668.64,0.45,0.71,2074
0,elasticsearch,Module,DOCS,363.34,225381.82,474.74,0.74,0.79,2261
0,elasticsearch,Module,FEATURE,581.86,668619.96,817.69,0.6,0.7,1360
0,elasticsearch,Module,OTHER,18735.72,662321608.54,25735.61,0.39,0.39,2227
0,elasticsearch,Module,REFACTOR,243.32,157482.83,396.84,0.73,0.73,1496
0,elasticsearch,Module,RELEASE,508.5,565435.6,751.95,0.51,0.57,2346
0,elasticsearch,Module,SUPPORT,1499.01,4033501.18,2008.36,0.64,0.8,1700
0,elasticsearch,Module,TESTING,2466.75,8264274.6,2874.77,0.58,0.67,2227
0,elasticsearch,Module,UPGRADE,2619.06,24651564.78,4965.03,0.58,0.65,1734
0,gitlabhq,Line,BUG,576.94,743732.83,862.4,0.45,0.69,11475
0,gitlabhq,Line,DOCS,332.56,263377.98,513.2,0.45,0.6,6987
0,gitlabhq,Line,FEATURE,343.95,274355.11,523.79,0.21,0.48,6188
0,gitlabhq,Line,OTHER,6517.56,103882888.94,10192.3,0.24,0.63,12342
0,gitlabhq,Line,REFACTOR,561.73,608658.34,780.17,0.21,0.56,5066
0,gitlabhq,Line,RELEASE,40.75,2385.77,48.84,0.53,0.63,3842
0,gitlabhq,Line,SUPPORT,435.88,294084.27,542.3,0.1,0.36,4845
0,gitlabhq,Line,TESTING,423.36,376983.27,613.99,0.4,0.65,6460
0,gitlabhq,Line,UPGRADE,386.6,224717.53,474.04,0.09,0.13,5236
0,gitlabhq,Module,BUG,35.79,2589.12,50.88,0.52,0.8,11475
0,gitlabhq,Module,DOCS,13.2,410.73,20.27,0.51,0.7,6987
0,gitlabhq,Module,FEATURE,15.46,410.53,20.26,0.21,0.56,6188
0,gitlabhq,Module,OTHER,204.88,126512.92,355.69,0.48,0.74,12342
0,gitlabhq,Module,REFACTOR,18.1,552.87,23.51,0.29,0.55,5066
0,gitlabhq,Module,RELEASE,2.2,8.17,2.86,0.56,0.74,3842
0,gitlabhq,Module,SUPPORT,14.06,332.27,18.23,0.29,0.51,4845
0,gitlabhq,Module,TESTING,15.67,632.9,25.16,0.54,0.72,6460
0,gitlabhq,Module,UPGRADE,6.91,89.26,9.45,0.35,0.57,5236
