Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
vue,Line_CC,BUG,0.97,0.97,127.3,261020.39,510.9,0.67,0.77,248,0,0.394
vue,Line_EC,BUG,1.0,1.0,45.68,258716.9,508.64,0.99,0.99,248,0,0.745
vue,Line_UC,BUG,0.61,0.6,180.93,1326106.72,1151.57,0.56,0.7,248,0,0.371
vue,Module_CC,BUG,0.97,0.97,9.13,1644.56,40.55,0.71,0.84,248,0,0.394
vue,Module_EC,BUG,1.0,1.0,4.76,2807.26,52.98,0.99,0.99,248,0,0.745
vue,Module_UC,BUG,0.65,0.64,14.28,6615.98,81.34,0.59,0.71,248,0,0.371
neutron,Line_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Line_EC,BUG,0.71,0.7,14887.34,3004452996.95,54812.89,0.56,0.69,203,0,0.209
neutron,Line_UC,BUG,0.66,0.65,405.31,1766793.08,1329.21,0.48,0.59,203,0,0.228
neutron,Module_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Module_EC,BUG,0.98,0.98,64.82,13881.1,117.82,0.64,0.83,203,0,0.209
neutron,Module_UC,BUG,0.88,0.88,18.24,3406.62,58.37,0.53,0.71,203,0,0.228
tensorflow,Line_CC,BUG,0.91,0.91,501.82,3295617.9,1815.38,0.43,0.53,106,0,0.243
tensorflow,Line_EC,BUG,0.22,0.19,7179.74,1197399245.27,34603.46,0.66,0.73,106,0,0.271
tensorflow,Line_UC,BUG,0.67,0.66,3224.94,165238429.48,12854.51,0.42,0.56,106,0,0.137
tensorflow,Module_CC,BUG,0.74,0.73,17.5,3661.5,60.51,0.49,0.65,106,0,0.243
tensorflow,Module_EC,BUG,0.72,0.71,217.66,256620.43,506.58,0.64,0.68,106,0,0.271
tensorflow,Module_UC,BUG,0.63,0.62,165.37,348210.55,590.09,0.47,0.66,106,0,0.137
moby,Line_CC,BUG,0.97,0.97,8.21,1123.36,33.52,0.93,0.93,319,0,0.68
moby,Line_EC,BUG,0.35,0.34,12.88,5832.0,76.37,0.97,0.97,319,0,0.678
moby,Line_UC,BUG,0.92,0.92,964.46,5131178.44,2265.21,0.39,0.5,319,0,0.207
moby,Module_CC,BUG,0.82,0.82,0.58,6.96,2.64,0.92,0.93,319,0,0.68
moby,Module_EC,BUG,1.0,1.0,0.7,17.26,4.15,0.97,0.97,319,0,0.678
moby,Module_UC,BUG,0.96,0.96,32.99,8885.17,94.26,0.55,0.67,319,0,0.207
angular,Line_CC,BUG,0.91,0.91,5107.75,124197487.97,11144.39,0.42,0.57,411,0,0.159
angular,Line_EC,BUG,0.62,0.62,2842.47,233471851.34,15279.79,0.63,0.7,411,0,0.446
angular,Line_UC,BUG,0.91,0.91,2588.96,99044464.05,9952.11,0.46,0.6,411,0,0.235
angular,Module_CC,BUG,0.78,0.78,309.47,591171.91,768.88,0.42,0.62,411,0,0.159
angular,Module_EC,BUG,0.53,0.53,131.18,620141.99,787.49,0.75,0.83,411,0,0.446
angular,Module_UC,BUG,0.95,0.95,92.96,145796.12,381.83,0.51,0.65,411,0,0.235
home-assistant,Line_CC,BUG,0.56,0.56,99.68,144188.74,379.72,0.57,0.69,560,0,0.367
home-assistant,Line_EC,BUG,0.61,0.61,2313.38,121846555.31,11038.41,0.88,0.9,560,0,0.63
home-assistant,Line_UC,BUG,0.15,0.14,227.46,8448467.65,2906.62,0.66,0.73,560,0,0.453
home-assistant,Module_CC,BUG,0.44,0.44,4.0,550.64,23.47,0.68,0.82,560,0,0.367
home-assistant,Module_EC,BUG,0.41,0.41,65.6,252703.83,502.7,0.91,0.95,560,0,0.63
home-assistant,Module_UC,BUG,0.65,0.65,5.23,761.33,27.59,0.73,0.82,560,0,0.453
node,Line_CC,BUG,0.95,0.95,4715.78,159053841.1,12611.65,0.71,0.77,596,0,0.398
node,Line_EC,BUG,0.94,0.94,1113.46,16001853.08,4000.23,0.83,0.86,596,0,0.513
node,Line_UC,BUG,0.93,0.93,2125.44,27815638.59,5274.05,0.45,0.62,596,0,0.105
