Key,Version,NT,NO,E_Module,E_Line,T_Module,T_Line,Date
inux/linux,v2.6.12,382,1478,5427,508995,17360,6777312,
inux/linux,v2.6.13,706,3468,5118,569627,18090,6989142,2005-08-28
inux/linux,v2.6.14,649,3282,5223,495283,18434,7142812,2005-10-27
inux/linux,v2.6.15,809,4601,6280,772543,18811,7290264,2006-01-02
inux/linux,v2.6.16,916,4818,6641,570762,19251,7479609,2006-03-19
inux/linux,v2.6.17,940,5173,6255,705780,19553,7587681,2006-06-17
inux/linux,v2.6.18,1056,5735,8944,586438,20208,7752823,2006-09-19
inux/linux,v2.6.19,976,6097,8035,805940,20936,7975955,2006-11-29
inux/linux,v2.6.20,677,4306,5793,377755,21280,8102425,2007-02-04
inux/linux,v2.6.21,804,4545,6443,452257,21614,8246154,2007-04-25
inux/linux,v2.6.22,925,5915,7606,777868,22411,8499367,2007-07-08
inux/linux,v2.6.23,1004,6071,7177,741693,22530,8566159,2007-10-09
inux/linux,v2.6.24,1653,8700,9755,1127096,23062,8859551,2008-01-24
inux/linux,v2.6.25,1948,10759,9695,1161301,23810,9231923,2008-04-16
inux/linux,v2.6.26,1709,8778,8635,982912,24270,9411741,2008-07-13
inux/linux,v2.6.27,1683,9688,13468,1648082,24353,9629899,2008-10-09
inux/linux,v2.6.28,1580,8204,9984,1174506,25254,10114905,2008-12-24
inux/linux,v2.6.29,1955,10571,10447,1729899,26667,10931501,2009-03-23
inux/linux,v2.6.30,1997,11011,9884,1476893,27878,11556594,2009-06-09
inux/linux,v2.6.31,1686,10027,8914,1393035,29110,11967027,2009-09-09
inux/linux,v2.6.32,1686,10120,10308,1628397,30485,12528554,2009-12-02
inux/linux,v2.6.33,1432,10252,9624,1317336,31565,12909402,2010-02-24
inux/linux,v2.6.34,1371,8762,11110,882166,32297,13239483,2010-05-16
inux/linux,v2.6.35,1512,8975,8883,1158845,33316,13464117,2010-08-01
inux/linux,v2.6.36,1439,8734,9156,1180969,34298,13418714,2010-10-20
inux/linux,v2.6.37,1793,10414,11044,1666114,35188,13912822,2011-01-04
inux/linux,v2.6.38,1387,9006,8965,1057012,35866,14205804,2011-03-14
inux/linux,v2.6.39,1293,9738,10815,1307662,36707,14529213,2011-05-18
inux/linux,v3.0,1250,8593,7910,978745,36783,14643313,2011-07-21
inux/linux,v3.1,1122,8258,9021,1256286,37086,14766834,2011-10-24
inux/linux,v3.2,1573,11122,12036,2574503,37618,14995713,2012-01-04
inux/linux,v3.3,1433,9983,10566,950315,38083,15162406,2012-03-18
inux/linux,v3.4,1425,10404,10977,895507,38567,15380953,2012-05-20
inux/linux,v3.5,1294,10478,9548,990638,39097,15592715,2012-07-21
inux/linux,v3.6,1431,9699,8278,780344,39734,15865121,2012-09-30
inux/linux,v3.7,1658,11347,14160,1898122,40906,16188081,2012-12-10
inux/linux,v3.8,1546,11980,11424,878529,41521,16413918,2013-02-18
inux/linux,v3.9,1579,11377,11061,926831,42424,16683274,2013-04-28
inux/linux,v3.10,1716,13021,10429,1045296,43018,16952547,2013-06-30
inux/linux,v3.11,1468,10383,9666,1056902,44005,17399642,2013-09-02
inux/linux,v3.12,1387,10519,8616,842324,44591,17723930,2013-11-03
inux/linux,v3.13,1511,11777,9819,666316,44975,17927278,2014-01-19
inux/linux,v3.14,1695,11720,10557,839561,45940,18269059,2014-03-30
inux/linux,v3.15,1536,13335,10923,1002508,46788,18628944,2014-06-08
inux/linux,v3.16,1521,12309,9803,780370,47433,18876200,2014-08-03
inux/linux,v3.17,1526,11805,10433,1182100,47503,18860759,2014-10-05
inux/linux,v3.18,1424,10937,9256,813821,47986,18991168,2014-12-07
inux/linux,v3.19,1373,12279,10697,810232,48440,19126975,2015-02-08
inux/linux,v4.0,1359,9947,9450,819799,48957,19309454,2015-04-12
inux/linux,v4.1,1318,11647,10009,685672,49457,19508862,2015-06-21
inux/linux,v4.2,1636,13114,10831,1342791,50795,20308811,2015-08-30
inux/linux,v4.3,1345,11937,10276,853340,51570,20617827,2015-11-01
inux/linux,v4.4,1496,12586,10162,823994,52221,20861516,2016-01-10
inux/linux,v4.5,1399,11774,10976,1276323,52916,21152861,2016-03-13
inux/linux,v4.6,1529,13089,10177,875404,53660,21421737,2016-05-15
inux/linux,v4.7,1357,12076,9866,832063,54400,21719518,2016-07-24
inux/linux,v4.8,1536,13016,11443,965055,55503,22068641,2016-10-02
inux/linux,v4.9,1924,15468,11286,1069558,56233,22345209,2016-12-11
inux/linux,v4.10,1536,12713,11877,1104070,57202,22839925,2017-02-19
inux/linux,v4.11,1496,12395,12533,796050,57994,23137223,2017-04-30
inux/linux,v4.12,1647,14089,12503,1647509,59845,24171207,2017-07-02
inux/linux,v4.13,1511,12639,10811,1116148,60582,24766835,2017-09-03
inux/linux,v4.14,1531,13128,23241,1033937,61290,25041721,2017-11-12
inux/linux,v4.15,1747,14476,13245,957583,62303,25364560,2018-01-28
inux/linux,v4.16,1566,13330,12167,1015379,62915,25559247,2018-04-01
inux/linux,v4.17,1423,13322,14420,1688584,61362,25379344,2018-06-03
inux/linux,v4.18,1630,12802,13067,1256268,61003,25281298,2018-08-12
inux/linux,v4.19,1484,13720,11684,792731,61734,25588235,2018-10-22
inux/linux,v4.20,1526,13469,11365,989626,62481,25955938,2018-12-23
inux/linux,v5.0,1467,12454,12019,874548,63135,26202826,2019-03-03
inux/linux,v5.1,1723,12437,11910,814232,63873,26460192,2019-05-05
inux/linux,v5.2,1517,13572,30867,1152997,64587,26551812,2019-07-07
inux/linux,v5.3,1750,14034,13811,1689741,65261,27141809,2019-09-15
inux/linux,v5.4,1581,14144,12710,1187740,65701,27537890,2019-11-24
inux/linux,v5.5,1591,13906,11715,868000,66493,27855258,2020-01-26
inux/linux,v5.6,1358,12333,11533,886066,67337,28169472,2020-03-29
